bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,beryllium_flux m^-2sr^-1s^-1GV^-1,beryllium_flux_error_statistical m^-2sr^-1s^-1GV^-1,beryllium_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,beryllium_flux_error_time_independent m^-2sr^-1s^-1GV^-1,beryllium_to_helium_ratio,beryllium_to_helium_ratio_error_statistical,beryllium_to_helium_ratio_error_time_dependent,beryllium_to_helium_ratio_error_time_independent
2426,1.92,2.15,0.157,0.0133,0.0035,0.0034,0.002089,0.000177,4.9e-05,5.5e-05
2426,2.15,2.4,0.1529,0.0116,0.0026,0.0032,0.002245,0.00017,4e-05,5.5e-05
2426,2.4,2.67,0.1436,0.0099,0.0021,0.0031,0.00235,0.000163,3.7e-05,5.7e-05
2426,2.67,2.97,0.1474,0.0091,0.0021,0.0032,0.002733,0.000168,4.2e-05,6.7e-05
2426,2.97,3.29,0.1304,0.0077,0.0019,0.003,0.002777,0.000164,4.4e-05,7e-05
2426,3.29,3.64,0.1145,0.0064,0.0016,0.0026,0.002834,0.00016,4.3e-05,7.2e-05
2426,3.64,4.02,0.09456,0.00532,0.00133,0.00224,0.002766,0.000156,4.2e-05,7.2e-05
2426,4.02,4.43,0.08315,0.00448,0.00117,0.00201,0.002873,0.000155,4.3e-05,7.6e-05
2426,4.43,4.88,0.06958,0.00354,0.00098,0.00171,0.002892,0.000147,4.3e-05,7.8e-05
2426,4.88,5.37,0.0567,0.00285,0.00081,0.00142,0.002824,0.000142,4.3e-05,7.7e-05
2426,5.37,5.9,0.04997,0.00244,0.00072,0.00127,0.003021,0.000148,4.6e-05,8.4e-05
2426,5.9,6.47,0.03529,0.00188,0.00051,0.00091,0.0026,0.000139,4e-05,7.3e-05
2426,6.47,7.09,0.03177,0.0016,0.00046,0.00082,0.00286,0.000144,4.4e-05,8e-05
2426,7.09,7.76,0.02604,0.00131,0.00038,0.00067,0.002877,0.000145,4.4e-05,8.1e-05
2426,7.76,8.48,0.01957,0.00104,0.00028,0.0005,0.002651,0.00014,4.1e-05,7.5e-05
2426,8.48,9.26,0.0153,0.00085,0.00022,0.00039,0.002557,0.000142,3.9e-05,7.2e-05
2426,9.26,10.1,0.01276,0.00073,0.00019,0.00033,0.002626,0.00015,4.1e-05,7.3e-05
2426,10.1,11.0,0.01132,0.00065,0.00016,0.00029,0.00286,0.000164,4.4e-05,8e-05
2426,11.0,12.0,0.008835,0.000534,0.000129,0.000223,0.002762,0.000167,4.3e-05,7.7e-05
2426,12.0,13.0,0.006611,0.000453,9.7e-05,0.000166,0.002526,0.000173,3.9e-05,7e-05
2426,13.0,14.1,0.005707,0.000394,8.4e-05,0.000142,0.002678,0.000185,4.2e-05,7.4e-05
2426,14.1,15.3,0.004591,0.00033,6.8e-05,0.000114,0.002638,0.00019,4.1e-05,7.2e-05
2426,15.3,16.6,0.003616,0.000274,5.4e-05,8.9e-05,0.002557,0.000194,4e-05,7e-05
2426,16.6,18.0,0.002712,0.000221,4.1e-05,6.7e-05,0.002356,0.000193,3.7e-05,6.4e-05
2426,18.0,19.5,0.002208,0.000185,3.3e-05,5.4e-05,0.002364,0.000198,3.7e-05,6.4e-05
2426,19.5,21.1,0.001599,0.000145,2.4e-05,3.9e-05,0.002109,0.000191,3.3e-05,5.7e-05
2426,21.1,22.8,0.00154,0.000132,2.3e-05,3.8e-05,0.002481,0.000213,3.9e-05,6.8e-05
2426,22.8,24.7,0.001236,0.000107,1.9e-05,3e-05,0.002464,0.000214,3.9e-05,6.7e-05
2426,24.7,26.7,0.0009443,8.77e-05,1.41e-05,2.31e-05,0.002308,0.000214,3.6e-05,6.3e-05
2426,26.7,28.8,0.0008601,7.96e-05,1.29e-05,2.11e-05,0.002578,0.000239,4.1e-05,7.1e-05
2426,28.8,31.1,0.0005135,5.78e-05,7.7e-06,1.26e-05,0.001886,0.000212,3e-05,5.2e-05
2426,31.1,33.5,0.0004688,5.35e-05,7.1e-06,1.15e-05,0.002123,0.000242,3.4e-05,5.9e-05
2426,33.5,36.1,0.000407,4.77e-05,6.2e-06,1.01e-05,0.002238,0.000263,3.6e-05,6.2e-05
2426,36.1,38.9,0.0002747,3.77e-05,4.2e-06,6.8e-06,0.00185,0.000254,3e-05,5.2e-05
2426,38.9,41.9,0.0002559,3.52e-05,3.9e-06,6.4e-06,0.002115,0.000291,3.4e-05,5.9e-05
2426,41.9,45.1,0.0001907,2.94e-05,2.9e-06,4.8e-06,0.001919,0.000296,3.1e-05,5.4e-05
2426,45.1,48.5,0.0001791,2.76e-05,2.8e-06,4.5e-06,0.002193,0.000339,3.6e-05,6.2e-05
2426,48.5,52.2,0.0001261,2.22e-05,1.9e-06,3.2e-06,0.001907,0.000337,3.1e-05,5.4e-05
2426,52.2,56.1,8.691e-05,1.798e-05,1.35e-06,2.18e-06,0.001605,0.000332,2.6e-05,4.6e-05
2426,56.1,60.3,8.403e-05,1.704e-05,1.3e-06,2.1e-06,0.00192,0.00039,3.1e-05,5.5e-05
2427,1.92,2.15,0.1569,0.0102,0.0023,0.0034,0.002266,0.000147,3.7e-05,6e-05
2427,2.15,2.4,0.1468,0.0087,0.0017,0.0031,0.00232,0.000137,3.1e-05,5.7e-05
2427,2.4,2.67,0.1494,0.0077,0.0016,0.0032,0.002621,0.000136,3.1e-05,6.4e-05
2427,2.67,2.97,0.1291,0.0065,0.0013,0.0028,0.002549,0.000128,2.9e-05,6.3e-05
2427,2.97,3.29,0.1136,0.0054,0.0012,0.0026,0.002565,0.000123,2.9e-05,6.4e-05
2427,3.29,3.64,0.09935,0.00455,0.00102,0.00229,0.00259,0.000119,3e-05,6.6e-05
2427,3.64,4.02,0.09199,0.004,0.00094,0.00218,0.002815,0.000122,3.2e-05,7.3e-05
2427,4.02,4.43,0.07775,0.0033,0.0008,0.00188,0.002814,0.000119,3.2e-05,7.4e-05
2427,4.43,4.88,0.06532,0.00263,0.00068,0.00161,0.002817,0.000113,3.2e-05,7.6e-05
2427,4.88,5.37,0.05301,0.00212,0.00057,0.00133,0.002754,0.00011,3.3e-05,7.5e-05
2427,5.37,5.9,0.04374,0.00176,0.00047,0.00111,0.002737,0.00011,3.2e-05,7.6e-05
2427,5.9,6.47,0.03743,0.00149,0.0004,0.00096,0.002854,0.000114,3.3e-05,8e-05
2427,6.47,7.09,0.03143,0.00123,0.00034,0.00081,0.002912,0.000114,3.5e-05,8.2e-05
2427,7.09,7.76,0.02537,0.001,0.00027,0.00066,0.002882,0.000114,3.4e-05,8.1e-05
2427,7.76,8.48,0.0211,0.00084,0.00023,0.00054,0.002941,0.000117,3.5e-05,8.3e-05
2427,8.48,9.26,0.01646,0.00069,0.00018,0.00042,0.002817,0.000118,3.4e-05,7.9e-05
2427,9.26,10.1,0.01337,0.00058,0.00015,0.00034,0.00281,0.000123,3.4e-05,7.9e-05
2427,10.1,11.0,0.01019,0.00048,0.00012,0.00026,0.002627,0.000125,3.2e-05,7.3e-05
2427,11.0,12.0,0.00832,0.000406,9.5e-05,0.00021,0.002644,0.000129,3.3e-05,7.3e-05
2427,12.0,13.0,0.006807,0.00036,7.8e-05,0.000171,0.002651,0.00014,3.3e-05,7.3e-05
2427,13.0,14.1,0.005953,0.000315,6.8e-05,0.000148,0.002816,0.000149,3.5e-05,7.7e-05
2427,14.1,15.3,0.004493,0.000256,5e-05,0.000111,0.002609,0.000149,3.2e-05,7.1e-05
2427,15.3,16.6,0.003659,0.000216,4.2e-05,9e-05,0.002633,0.000156,3.2e-05,7.2e-05
2427,16.6,18.0,0.002807,0.000176,3.2e-05,6.9e-05,0.002465,0.000155,3.1e-05,6.7e-05
2427,18.0,19.5,0.002237,0.000145,2.6e-05,5.5e-05,0.002426,0.000158,3e-05,6.6e-05
2427,19.5,21.1,0.002005,0.000127,2.3e-05,4.9e-05,0.002679,0.00017,3.3e-05,7.3e-05
2427,21.1,22.8,0.001399,9.8e-05,1.6e-05,3.4e-05,0.002263,0.000159,2.8e-05,6.2e-05
2427,22.8,24.7,0.001445,9.1e-05,1.7e-05,3.5e-05,0.002888,0.000182,3.6e-05,7.9e-05
2427,24.7,26.7,0.0009412,6.91e-05,1.09e-05,2.3e-05,0.002335,0.000172,2.9e-05,6.4e-05
2427,26.7,28.8,0.0006924,5.68e-05,8e-06,1.7e-05,0.002093,0.000172,2.6e-05,5.7e-05
2427,28.8,31.1,0.0006233,5.09e-05,7.2e-06,1.53e-05,0.002315,0.000189,2.9e-05,6.4e-05
2427,31.1,33.5,0.0005296,4.56e-05,6.2e-06,1.3e-05,0.002393,0.000206,3e-05,6.6e-05
2427,33.5,36.1,0.0003739,3.68e-05,4.4e-06,9.2e-06,0.00208,0.000205,2.6e-05,5.8e-05
2427,36.1,38.9,0.000363,3.49e-05,4.3e-06,9e-06,0.002467,0.000238,3.1e-05,6.9e-05
2427,38.9,41.9,0.0003074,3.1e-05,3.7e-06,7.7e-06,0.00254,0.000257,3.3e-05,7.1e-05
2427,41.9,45.1,0.0002129,2.5e-05,2.6e-06,5.3e-06,0.002142,0.000252,2.8e-05,6e-05
2427,45.1,48.5,0.0001459,2.01e-05,1.8e-06,3.7e-06,0.001788,0.000246,2.3e-05,5.1e-05
2427,48.5,52.2,0.000119,1.74e-05,1.4e-06,3e-06,0.001794,0.000262,2.3e-05,5.1e-05
2427,52.2,56.1,9.866e-05,1.543e-05,1.21e-06,2.47e-06,0.001808,0.000283,2.4e-05,5.1e-05
2427,56.1,60.3,9.811e-05,1.483e-05,1.2e-06,2.46e-06,0.002195,0.000332,2.9e-05,6.3e-05
2428,1.92,2.15,0.1564,0.0099,0.0022,0.0034,0.002177,0.000139,3.4e-05,5.7e-05
2428,2.15,2.4,0.1443,0.0084,0.0016,0.0031,0.002195,0.000129,2.7e-05,5.4e-05
2428,2.4,2.67,0.1392,0.0074,0.0014,0.003,0.002357,0.000125,2.6e-05,5.8e-05
2428,2.67,2.97,0.1434,0.0067,0.0013,0.0031,0.002738,0.000129,2.9e-05,6.7e-05
2428,2.97,3.29,0.1306,0.0058,0.0012,0.003,0.002839,0.000126,3e-05,7.1e-05
2428,3.29,3.64,0.1154,0.0048,0.001,0.0027,0.00291,0.000122,3e-05,7.4e-05
2428,3.64,4.02,0.08537,0.00379,0.00077,0.00202,0.002531,0.000112,2.6e-05,6.6e-05
2428,4.02,4.43,0.07853,0.00327,0.00071,0.0019,0.002748,0.000114,2.8e-05,7.3e-05
2428,4.43,4.88,0.06963,0.00267,0.00064,0.00171,0.002915,0.000112,3e-05,7.8e-05
2428,4.88,5.37,0.05319,0.00208,0.0005,0.00134,0.002674,0.000105,2.8e-05,7.3e-05
2428,5.37,5.9,0.04609,0.00176,0.00043,0.00117,0.002801,0.000107,2.9e-05,7.8e-05
2428,5.9,6.47,0.03725,0.00145,0.00035,0.00096,0.002753,0.000107,2.9e-05,7.7e-05
2428,6.47,7.09,0.02963,0.00116,0.00029,0.00077,0.002668,0.000104,2.9e-05,7.5e-05
2428,7.09,7.76,0.02452,0.00095,0.00024,0.00063,0.002706,0.000105,2.9e-05,7.6e-05
2428,7.76,8.48,0.01857,0.00076,0.00018,0.00048,0.002529,0.000103,2.7e-05,7.1e-05
2428,8.48,9.26,0.01725,0.00068,0.00017,0.00044,0.002873,0.000113,3.2e-05,8.1e-05
2428,9.26,10.1,0.0136,0.00056,0.00014,0.00035,0.002795,0.000116,3.1e-05,7.8e-05
2428,10.1,11.0,0.01113,0.00048,0.00011,0.00028,0.002803,0.000122,3.1e-05,7.8e-05
2428,11.0,12.0,0.008996,0.000406,9.2e-05,0.000227,0.002786,0.000126,3.1e-05,7.7e-05
2428,12.0,13.0,0.007167,0.000356,7.2e-05,0.00018,0.002734,0.000136,3e-05,7.5e-05
2428,13.0,14.1,0.005566,0.000293,5.6e-05,0.000139,0.002594,0.000137,2.8e-05,7.1e-05
2428,14.1,15.3,0.00435,0.000243,4.4e-05,0.000108,0.002481,0.000139,2.7e-05,6.8e-05
2428,15.3,16.6,0.003314,0.000198,3.3e-05,8.2e-05,0.002335,0.00014,2.6e-05,6.4e-05
2428,16.6,18.0,0.003047,0.000178,3.1e-05,7.5e-05,0.002643,0.000154,2.9e-05,7.2e-05
2428,18.0,19.5,0.00228,0.000143,2.3e-05,5.6e-05,0.002437,0.000153,2.7e-05,6.6e-05
2428,19.5,21.1,0.001842,0.000119,1.9e-05,4.5e-05,0.002431,0.000157,2.7e-05,6.6e-05
2428,21.1,22.8,0.001472,9.9e-05,1.5e-05,3.6e-05,0.002379,0.00016,2.7e-05,6.5e-05
2428,22.8,24.7,0.001282,8.4e-05,1.3e-05,3.1e-05,0.002549,0.000166,2.9e-05,7e-05
2428,24.7,26.7,0.0008444,6.38e-05,8.8e-06,2.06e-05,0.002078,0.000157,2.4e-05,5.7e-05
2428,26.7,28.8,0.0007223,5.6e-05,7.6e-06,1.77e-05,0.002169,0.000168,2.5e-05,6e-05
2428,28.8,31.1,0.0005408,4.55e-05,5.7e-06,1.33e-05,0.002005,0.000169,2.3e-05,5.5e-05
2428,31.1,33.5,0.0004543,4.04e-05,4.8e-06,1.12e-05,0.002034,0.000181,2.3e-05,5.6e-05
2428,33.5,36.1,0.0003959,3.61e-05,4.2e-06,9.8e-06,0.002178,0.000199,2.5e-05,6e-05
2428,36.1,38.9,0.0003418,3.23e-05,3.7e-06,8.5e-06,0.002284,0.000216,2.7e-05,6.4e-05
2428,38.9,41.9,0.0002206,2.51e-05,2.4e-06,5.5e-06,0.001817,0.000207,2.1e-05,5.1e-05
2428,41.9,45.1,0.0002091,2.36e-05,2.3e-06,5.2e-06,0.0021,0.000237,2.5e-05,5.9e-05
2428,45.1,48.5,0.0001645,2.03e-05,1.8e-06,4.1e-06,0.001996,0.000247,2.4e-05,5.6e-05
2428,48.5,52.2,0.0001419,1.81e-05,1.6e-06,3.6e-06,0.00212,0.000271,2.5e-05,6e-05
2428,52.2,56.1,9.39e-05,1.434e-05,1.05e-06,2.35e-06,0.00172,0.000263,2.1e-05,4.9e-05
2428,56.1,60.3,5.942e-05,1.1e-05,6.7e-07,1.49e-06,0.001317,0.000244,1.6e-05,3.8e-05
2429,1.92,2.15,0.1621,0.0097,0.0024,0.0035,0.002261,0.000136,3.6e-05,6e-05
2429,2.15,2.4,0.1458,0.0081,0.0014,0.0031,0.002217,0.000124,2.4e-05,5.5e-05
2429,2.4,2.67,0.1415,0.0071,0.0008,0.003,0.002393,0.00012,1.7e-05,5.8e-05
2429,2.67,2.97,0.1367,0.0063,0.0008,0.003,0.002607,0.000119,1.9e-05,6.4e-05
2429,2.97,3.29,0.1209,0.0053,0.0008,0.0027,0.002623,0.000114,2.2e-05,6.6e-05
2429,3.29,3.64,0.1138,0.0046,0.0006,0.0026,0.002862,0.000115,2.1e-05,7.3e-05
2429,3.64,4.02,0.09467,0.00379,0.00043,0.00224,0.002793,0.000112,1.8e-05,7.3e-05
2429,4.02,4.43,0.07923,0.00311,0.00034,0.00191,0.002772,0.000109,1.7e-05,7.3e-05
2429,4.43,4.88,0.06589,0.00247,0.00029,0.00162,0.002746,0.000103,1.7e-05,7.4e-05
2429,4.88,5.37,0.05777,0.00207,0.00028,0.00145,0.002894,0.000104,1.9e-05,7.9e-05
2429,5.37,5.9,0.04823,0.00172,0.00024,0.00123,0.002917,0.000104,1.9e-05,8.1e-05
2429,5.9,6.47,0.03833,0.0014,0.0002,0.00099,0.002818,0.000103,1.9e-05,7.9e-05
2429,6.47,7.09,0.03158,0.00114,0.00017,0.00082,0.002833,0.000102,2e-05,8e-05
2429,7.09,7.76,0.02571,0.00093,0.00015,0.00066,0.002828,0.000103,2e-05,8e-05
2429,7.76,8.48,0.0196,0.00075,0.00012,0.00051,0.002641,0.000101,1.9e-05,7.4e-05
2429,8.48,9.26,0.01664,0.00064,0.00012,0.00043,0.002758,0.000106,2.3e-05,7.7e-05
2429,9.26,10.1,0.01314,0.00053,0.00011,0.00034,0.002683,0.000109,2.4e-05,7.5e-05
2429,10.1,11.0,0.01137,0.00047,9e-05,0.00029,0.002854,0.000119,2.6e-05,8e-05
2429,11.0,12.0,0.008771,0.000386,7e-05,0.000222,0.002704,0.000119,2.5e-05,7.5e-05
2429,12.0,13.0,0.00742,0.000349,5.1e-05,0.000186,0.002803,0.000132,2.3e-05,7.7e-05
2429,13.0,14.1,0.006083,0.000295,4.2e-05,0.000152,0.002825,0.000137,2.3e-05,7.8e-05
2429,14.1,15.3,0.004774,0.000244,3.4e-05,0.000118,0.00271,0.000139,2.3e-05,7.4e-05
2429,15.3,16.6,0.003995,0.000209,3.1e-05,9.8e-05,0.002807,0.000147,2.5e-05,7.7e-05
2429,16.6,18.0,0.003152,0.000173,2.5e-05,7.7e-05,0.002724,0.000149,2.4e-05,7.4e-05
2429,18.0,19.5,0.002469,0.000141,1.8e-05,6e-05,0.002631,0.000151,2.3e-05,7.2e-05
2429,19.5,21.1,0.001787,0.000111,1.3e-05,4.4e-05,0.002346,0.000146,2e-05,6.4e-05
2429,21.1,22.8,0.001511,9.5e-05,1.1e-05,3.7e-05,0.002428,0.000153,2e-05,6.6e-05
2429,22.8,24.7,0.001301,8e-05,1e-05,3.2e-05,0.00257,0.000158,2.2e-05,7e-05
2429,24.7,26.7,0.0009693,6.5e-05,7e-06,2.37e-05,0.002366,0.000159,2e-05,6.5e-05
2429,26.7,28.8,0.0006401,5.06e-05,4.5e-06,1.57e-05,0.001906,0.000151,1.6e-05,5.2e-05
2429,28.8,31.1,0.0005904,4.59e-05,4.1e-06,1.45e-05,0.002172,0.000169,1.8e-05,6e-05
2429,31.1,33.5,0.0004574,3.92e-05,3.2e-06,1.13e-05,0.002046,0.000176,1.7e-05,5.7e-05
2429,33.5,36.1,0.0003176,3.14e-05,2.3e-06,7.8e-06,0.001743,0.000172,1.5e-05,4.8e-05
2429,36.1,38.9,0.0003171,3.02e-05,2.3e-06,7.9e-06,0.002113,0.000202,1.8e-05,5.9e-05
2429,38.9,41.9,0.0002506,2.6e-05,1.9e-06,6.2e-06,0.002037,0.000211,1.7e-05,5.7e-05
2429,41.9,45.1,0.0002048,2.27e-05,1.6e-06,5.1e-06,0.002045,0.000227,1.8e-05,5.8e-05
2429,45.1,48.5,0.00016,1.95e-05,1.2e-06,4e-06,0.00195,0.000238,1.7e-05,5.5e-05
2429,48.5,52.2,0.0001319,1.7e-05,1e-06,3.3e-06,0.001976,0.000254,1.8e-05,5.6e-05
2429,52.2,56.1,0.0001088,1.5e-05,9e-07,2.7e-06,0.001982,0.000274,1.8e-05,5.6e-05
2429,56.1,60.3,7.856e-05,1.229e-05,6.2e-07,1.97e-06,0.001739,0.000272,1.6e-05,5e-05
2430,1.92,2.15,0.1562,0.0095,0.0011,0.0034,0.002143,0.00013,1.9e-05,5.6e-05
2430,2.15,2.4,0.1552,0.0083,0.0008,0.0033,0.002345,0.000126,1.6e-05,5.8e-05
2430,2.4,2.67,0.1531,0.0073,0.0007,0.0033,0.002575,0.000123,1.6e-05,6.3e-05
2430,2.67,2.97,0.1374,0.0062,0.0006,0.003,0.002608,0.000119,1.7e-05,6.4e-05
2430,2.97,3.29,0.1296,0.0054,0.0006,0.0029,0.002796,0.000117,1.8e-05,7e-05
2430,3.29,3.64,0.1041,0.0043,0.0004,0.0024,0.00261,0.000109,1.6e-05,6.6e-05
2430,3.64,4.02,0.09465,0.00376,0.0004,0.00224,0.002782,0.000111,1.6e-05,7.2e-05
2430,4.02,4.43,0.0781,0.00307,0.00034,0.00189,0.002731,0.000107,1.6e-05,7.2e-05
2430,4.43,4.88,0.07292,0.00257,0.00033,0.00179,0.003034,0.000107,1.8e-05,8.1e-05
2430,4.88,5.37,0.05594,0.00201,0.00027,0.0014,0.002799,0.000101,1.8e-05,7.7e-05
2430,5.37,5.9,0.04716,0.00168,0.00023,0.0012,0.002848,0.000102,1.8e-05,7.9e-05
2430,5.9,6.47,0.03865,0.00139,0.0002,0.001,0.002843,0.000102,1.8e-05,8e-05
2430,6.47,7.09,0.03394,0.00117,0.00018,0.00088,0.003039,0.000105,2e-05,8.6e-05
2430,7.09,7.76,0.0257,0.00092,0.00013,0.00066,0.002836,0.000102,1.9e-05,8e-05
2430,7.76,8.48,0.02122,0.00077,0.00011,0.00055,0.002874,0.000104,1.9e-05,8.1e-05
2430,8.48,9.26,0.01719,0.00064,0.0001,0.00044,0.002856,0.000107,2e-05,8e-05
2430,9.26,10.1,0.01363,0.00054,8e-05,0.00035,0.002788,0.00011,2e-05,7.8e-05
2430,10.1,11.0,0.01111,0.00046,7e-05,0.00028,0.002796,0.000115,2.1e-05,7.8e-05
2430,11.0,12.0,0.008366,0.00037,5.3e-05,0.000211,0.002584,0.000114,1.9e-05,7.2e-05
2430,12.0,13.0,0.007433,0.000342,4.6e-05,0.000187,0.002821,0.00013,2.1e-05,7.8e-05
2430,13.0,14.1,0.005796,0.000282,3.7e-05,0.000144,0.002694,0.000131,2e-05,7.4e-05
2430,14.1,15.3,0.004518,0.000233,3e-05,0.000112,0.002585,0.000134,2e-05,7.1e-05
2430,15.3,16.6,0.003472,0.000191,2.4e-05,8.6e-05,0.002437,0.000134,2e-05,6.7e-05
2430,16.6,18.0,0.002931,0.000164,2.1e-05,7.2e-05,0.002543,0.000142,2.1e-05,6.9e-05
2430,18.0,19.5,0.002261,0.000133,1.6e-05,5.5e-05,0.002407,0.000142,1.9e-05,6.6e-05
2430,19.5,21.1,0.001853,0.000111,1.2e-05,4.5e-05,0.002439,0.000146,1.9e-05,6.6e-05
2430,21.1,22.8,0.001446,9.1e-05,9e-06,3.5e-05,0.002331,0.000147,1.7e-05,6.4e-05
2430,22.8,24.7,0.001242,7.7e-05,8e-06,3e-05,0.002445,0.000151,1.8e-05,6.7e-05
2430,24.7,26.7,0.0009793,6.42e-05,6.4e-06,2.39e-05,0.00239,0.000157,1.8e-05,6.5e-05
2430,26.7,28.8,0.0007517,5.38e-05,5e-06,1.84e-05,0.002265,0.000162,1.8e-05,6.2e-05
2430,28.8,31.1,0.0005425,4.32e-05,3.7e-06,1.33e-05,0.001977,0.000157,1.6e-05,5.4e-05
2430,31.1,33.5,0.0004981,4.02e-05,3.5e-06,1.23e-05,0.002245,0.000181,1.8e-05,6.2e-05
2430,33.5,36.1,0.0004118,3.51e-05,2.9e-06,1.02e-05,0.002274,0.000194,1.8e-05,6.3e-05
2430,36.1,38.9,0.0003353,3.05e-05,2.4e-06,8.3e-06,0.002266,0.000206,1.9e-05,6.3e-05
2430,38.9,41.9,0.0002895,2.74e-05,2.1e-06,7.2e-06,0.002395,0.000227,2e-05,6.7e-05
2430,41.9,45.1,0.0001949,2.17e-05,1.5e-06,4.9e-06,0.001955,0.000218,1.7e-05,5.5e-05
2430,45.1,48.5,0.0001496,1.85e-05,1.2e-06,3.7e-06,0.001846,0.000228,1.6e-05,5.2e-05
2430,48.5,52.2,8.19e-05,1.311e-05,6.4e-07,2.05e-06,0.00123,0.000197,1.1e-05,3.5e-05
2430,52.2,56.1,0.0001009,1.42e-05,8e-07,2.5e-06,0.00186,0.000262,1.6e-05,5.3e-05
2430,56.1,60.3,9.365e-05,1.317e-05,7.4e-07,2.34e-06,0.002081,0.000293,1.8e-05,5.9e-05
2431,1.92,2.15,0.1575,0.0094,0.0038,0.0034,0.002386,0.000142,5.9e-05,6.3e-05
2431,2.15,2.4,0.1522,0.0081,0.0023,0.0032,0.002498,0.000133,3.9e-05,6.2e-05
2431,2.4,2.67,0.1285,0.0066,0.001,0.0028,0.002331,0.00012,2.1e-05,5.7e-05
2431,2.67,2.97,0.1238,0.0058,0.001,0.0027,0.002506,0.000118,2.3e-05,6.1e-05
2431,2.97,3.29,0.1031,0.0048,0.0013,0.0023,0.002373,0.00011,3.2e-05,6e-05
2431,3.29,3.64,0.09959,0.00419,0.00091,0.0023,0.002635,0.000111,2.6e-05,6.7e-05
2431,3.64,4.02,0.09287,0.00369,0.00057,0.0022,0.002866,0.000114,2.1e-05,7.4e-05
2431,4.02,4.43,0.08001,0.00309,0.00038,0.00193,0.002917,0.000113,1.8e-05,7.7e-05
2431,4.43,4.88,0.07023,0.00251,0.00037,0.00173,0.003046,0.000109,2e-05,8.2e-05
2431,4.88,5.37,0.05615,0.002,0.00034,0.00141,0.002917,0.000104,2.1e-05,8e-05
2431,5.37,5.9,0.04441,0.00163,0.00025,0.00113,0.002775,0.000102,1.9e-05,7.7e-05
2431,5.9,6.47,0.03944,0.0014,0.00022,0.00102,0.002998,0.000106,2.1e-05,8.4e-05
2431,6.47,7.09,0.03004,0.0011,0.00018,0.00078,0.002777,0.000102,2e-05,7.8e-05
2431,7.09,7.76,0.02511,0.00091,0.00014,0.00065,0.002839,0.000103,2e-05,8e-05
2431,7.76,8.48,0.02036,0.00075,0.00012,0.00053,0.002829,0.000104,2e-05,8e-05
2431,8.48,9.26,0.01594,0.00061,9e-05,0.00041,0.002709,0.000104,1.9e-05,7.6e-05
2431,9.26,10.1,0.01221,0.00051,7e-05,0.00031,0.00255,0.000106,1.9e-05,7.1e-05
2431,10.1,11.0,0.0109,0.00045,6e-05,0.00028,0.002788,0.000116,2e-05,7.8e-05
2431,11.0,12.0,0.008226,0.000367,4.9e-05,0.000208,0.00259,0.000116,1.9e-05,7.2e-05
2431,12.0,13.0,0.006946,0.000331,4.2e-05,0.000174,0.002684,0.000128,2e-05,7.4e-05
2431,13.0,14.1,0.005587,0.000278,3.5e-05,0.000139,0.002636,0.000131,2e-05,7.2e-05
2431,14.1,15.3,0.004564,0.000235,2.9e-05,0.000113,0.002642,0.000136,2e-05,7.2e-05
2431,15.3,16.6,0.003605,0.000195,2.3e-05,8.9e-05,0.002571,0.00014,2e-05,7e-05
2431,16.6,18.0,0.003019,0.000167,2.1e-05,7.4e-05,0.002645,0.000147,2.1e-05,7.2e-05
2431,18.0,19.5,0.002367,0.000137,1.6e-05,5.8e-05,0.002562,0.000149,2e-05,7e-05
2431,19.5,21.1,0.001641,0.000105,1e-05,4e-05,0.002171,0.00014,1.6e-05,5.9e-05
2431,21.1,22.8,0.001592,9.6e-05,1e-05,3.9e-05,0.002592,0.000157,2e-05,7.1e-05
2431,22.8,24.7,0.001099,7.3e-05,7e-06,2.7e-05,0.002195,0.000145,1.7e-05,6e-05
2431,24.7,26.7,0.0009762,6.42e-05,6.4e-06,2.39e-05,0.002398,0.000158,1.9e-05,6.6e-05
2431,26.7,28.8,0.0007646,5.43e-05,5.1e-06,1.87e-05,0.002293,0.000163,1.8e-05,6.3e-05
2431,28.8,31.1,0.0006165,4.6e-05,4.2e-06,1.51e-05,0.002268,0.000169,1.8e-05,6.2e-05
2431,31.1,33.5,0.000509,4.05e-05,3.5e-06,1.25e-05,0.002297,0.000183,1.8e-05,6.3e-05
2431,33.5,36.1,0.0003399,3.18e-05,2.4e-06,8.4e-06,0.001867,0.000175,1.5e-05,5.2e-05
2431,36.1,38.9,0.0003069,2.91e-05,2.2e-06,7.6e-06,0.002034,0.000193,1.7e-05,5.7e-05
2431,38.9,41.9,0.0002505,2.54e-05,1.9e-06,6.2e-06,0.002062,0.000209,1.7e-05,5.8e-05
2431,41.9,45.1,0.0001539,1.93e-05,1.2e-06,3.8e-06,0.001553,0.000195,1.3e-05,4.4e-05
2431,45.1,48.5,0.0001735,1.99e-05,1.3e-06,4.3e-06,0.002128,0.000244,1.8e-05,6e-05
2431,48.5,52.2,0.0001285,1.64e-05,1e-06,3.2e-06,0.001937,0.000247,1.7e-05,5.5e-05
2431,52.2,56.1,7.346e-05,1.208e-05,5.8e-07,1.84e-06,0.001333,0.000219,1.2e-05,3.8e-05
2431,56.1,60.3,7.715e-05,1.193e-05,6.1e-07,1.93e-06,0.001718,0.000266,1.5e-05,4.9e-05
