NAME,RA,DEC,TRIGGER_TIME,T90,T90_ERROR,FLUENCE,FLUENCE_ERROR,T50,T50_ERROR,TRIGGER_NAME
GRB120403857                  ,55.3384,-89.0093,56020.856927003,4.288,1.935,2.3964e-07,2.0458e-08,1.408,1.62,"bn120403857
"
GRB120227725                  ,256.73,-88.86,55984.725475166,17.408,0.81,2.1949e-05,1.0403e-07,6.656,0.572,"bn120227725
"
GRB230524357                  ,13.08,-87.77,60088.357309166,11.008,4.72,1.4201e-06,4.2457e-08,3.584,0.572,"bn230524357
"
GRB141205018                  ,294.61,-87.58,56996.017706164,13.056,1.28,1.6031e-06,4.1267e-08,5.888,1.28,"bn141205018
"
GRB180630467                  ,48.9589,-87.4785,58299.466601915,12.032,1.864,2.988e-06,3.2537e-08,2.816,0.362,"bn180630467
"
GRB170116238                  ,72.94,-87.43,57769.238371056,9.216,3.62,1.1231e-06,9.1975e-08,4.352,2.111,"bn170116238
"
GRB250330255                  ,252.952,-86.8797,60764.255305802,4.8,0.326,1.4825e-06,1.3997e-08,1.664,0.181,"bn250330255
"
GRB250926827                  ,13.64,-86.18,60944.826748487,24.256,1.619,3.6552e-06,3.1169e-08,12.8,0.81,"bn250926827
"
GRB091026550                  ,276.573,-86.1115,55130.549687727,8.96,1.379,1.3765e-06,7.1983e-08,3.84,0.81,"bn091026550
"
GRB230428381                  ,121.75,-86.06,60062.381228598,4.352,1.639,3.4407e-07,3.2779e-08,1.536,1.145,"bn230428381
"
GRB260109362                  ,197.53,-73.94,61049.362064309,24.896,1.632,6.1855e-07,3.1329e-08,12.48,2.18,"bn260109362
"
GRB260102883                  ,60.66,-67.83,61042.883372376,1.6,0.528,2.416e-07,2.2191e-08,0.704,0.466,"bn260102883
"
GRB170106968                  ,39.41,-32.72,57759.967937784,31.232,10.524,1.0747e-06,1.2183e-07,19.968,6.461,"bn170106968
"
GRB150312403                  ,285.49,-86.0,57093.403306779,0.32,0.547,1.4018e-07,1.9221e-08,0.064,0.091,"bn150312403
"
GRB251018723                  ,245.91,-85.95,60966.723433849,0.32,0.163,9.7787e-08,6.4922e-09,0.128,0.045,"bn251018723
"
GRB110520302                  ,71.01,-85.93,55701.301692553,12.288,11.336,1.0428e-06,5.1064e-08,5.376,0.923,"bn110520302
"
GRB231224868                  ,102.29,-71.17,60302.867546229,0.832,0.838,2.3693e-07,1.9665e-08,0.032,0.315,"bn231224868
"
GRB121216419                  ,13.88,-85.44,56277.418940395,9.216,2.56,3.8503e-07,2.4751e-08,5.12,0.81,"bn121216419
"
GRB251114860                  ,160.08,-85.15,60993.860071783,7.936,1.145,1.7785e-06,1.7502e-08,1.28,0.362,"bn251114860
"
GRB200107810                  ,107.066,-83.716,58855.809986184,81.154,1.086,4.0811e-06,2.1979e-08,36.097,0.724,"bn200107810
"
GRB240119729                  ,152.67,-83.61,60328.728561161,0.832,0.923,1.5373e-06,3.9123e-08,0.064,0.091,"bn240119729
"
GRB101227195                  ,186.79,-83.55,55557.194776809,95.488,1.639,3.4308e-06,9.0213e-08,86.784,3.665,"bn101227195
"
GRB220430900                  ,9.01,-83.38,59699.899997669,30.464,3.974,6.8001e-07,2.9991e-08,20.992,14.868,"bn220430900
"
GRB200607921                  ,41.33,-83.33,59007.921197048,26.625,1.305,1.1548e-05,3.7659e-08,10.24,0.362,"bn200607921
"
GRB250725077                  ,35.385,-82.784,60881.077486212,9.472,0.362,1.0722e-05,1.9274e-08,2.816,0.362,"bn250725077
"
GRB160326062                  ,188.15,-82.69,57473.061994148,19.456,0.724,1.852e-06,3.5724e-08,6.4,0.572,"bn160326062
"
GRB230426853                  ,38.53,-82.4,60060.853471832,25.856,0.724,5.2286e-05,6.7408e-08,8.448,0.572,"bn230426853
"
GRB250412754                  ,349.84,-81.67,60777.754247885,11.008,1.145,1.1293e-06,2.2733e-08,2.56,0.362,"bn250412754
"
GRB231129799                  ,11.91,-81.636,60277.798820775,5.824,0.091,7.8699e-05,2.8318e-08,2.624,0.091,"bn231129799
"
GRB220413167                  ,249.08,-81.55,59682.167416428,0.512,2.36,3.7194e-08,1.7132e-08,0.256,0.724,"bn220413167
"
GRB101116481                  ,32.0,-81.2,55516.480865012,0.576,0.82,3.0435e-07,6.3863e-08,0.384,0.373,"bn101116481
"
GRB250720790                  ,92.04,-80.65,60876.789702561,1.024,1.214,3.0818e-07,4.1516e-08,0.128,0.143,"bn250720790
"
GRB220921473                  ,94.33,-80.59,59843.473199533,44.288,2.429,2.3189e-06,2.6277e-08,22.272,0.81,"bn220921473
"
GRB170130697                  ,296.39,-80.45,57783.696681664,29.184,6.155,1.3192e-06,4.7297e-08,8.192,1.493,"bn170130697
"
GRB110205027                  ,359.73,-80.44,55597.027137161,5.376,3.278,4.5134e-07,6.4381e-08,0.512,0.923,"bn110205027
"
GRB110825265                  ,251.31,-80.28,55798.265410171,48.128,1.493,2.0912e-06,2.435e-08,24.064,0.923,"bn110825265
"
GRB160919613                  ,266.15,-80.21,57650.61344488,62.465,3.665,5.5262e-06,5.4458e-08,23.808,1.81,"bn160919613
"
GRB120830212                  ,337.87,-80.04,56169.211721577,16.064,3.649,7.5151e-06,2.3629e-07,4.032,0.64,"bn120830212
"
GRB140323433                  ,356.959,-79.905,56739.432559256,111.426,3.027,3.2424e-05,1.9208e-07,64.705,0.81,"bn140323433
"
GRB220415645                  ,298.38,-79.82,59684.645135233,23.04,1.619,2.895e-06,4.7357e-08,10.24,1.145,"bn220415645
"
GRB181007737                  ,211.22,-79.69,58398.737133932,23.552,0.362,3.0597e-06,3.0382e-08,12.8,0.572,"bn181007737
"
GRB240112914                  ,148.48,-79.38,60321.913940425,3.264,0.462,7.4339e-07,6.9689e-08,1.984,0.781,"bn240112914
"
GRB120805706                  ,30.13,-21.51,56144.705806942,1.856,1.296,1.879e-07,1.9566e-08,0.768,0.41,"bn120805706
"
GRB100325246                  ,209.14,-79.1,55280.246341999,8.192,1.086,1.334e-06,1.7358e-08,4.608,0.572,"bn100325246
"
GRB100507577                  ,2.9,-79.01,55323.577265367,44.033,5.221,9.9681e-06,1.1543e-07,14.336,1.448,"bn100507577
"
GRB200907957                  ,34.5,-78.38,59099.956575128,140.803,1.056,4.0466e-05,4.6007e-08,101.122,0.572,"bn200907957
"
GRB171206122                  ,9.48,-78.2,58093.122047879,15.36,3.083,1.5221e-06,7.2998e-08,3.328,2.611,"bn171206122
"
GRB140518709                  ,244.04,-77.86,56795.708835935,0.704,0.466,3.8053e-07,2.6848e-08,0.256,0.181,"bn140518709
"
GRB130623488                  ,20.723,-77.784,56466.488044513,22.272,0.923,2.4645e-06,3.0042e-08,13.312,1.145,"bn130623488
"
GRB231031144                  ,155.22,-77.51,60248.143987603,11.52,2.573,9.1048e-07,2.0825e-08,2.816,0.724,"bn231031144
"
GRB240421224                  ,291.83,-77.36,60421.223609966,4.096,1.864,5.3114e-06,9.3332e-06,3.584,3.367,"bn240421224
"
GRB141004150                  ,30.44,-77.3,56934.150334464,9.472,0.81,4.0962e-06,2.5668e-08,3.072,0.362,"bn141004150
"
GRB251221782                  ,274.71,-21.36,61030.782199049,10.752,3.338,2.974e-06,3.1897e-08,5.888,0.81,"bn251221782
"
GRB101024486                  ,66.5064,-77.2648,55493.485805578,20.224,2.828,3.3282e-06,1.3189e-07,13.824,4.128,"bn101024486
"
GRB200119692                  ,271.04,-77.14,58867.692448275,19.2,1.999,1.8743e-06,2.994e-08,4.608,0.923,"bn200119692
"
GRB250821672                  ,39.95,-77.13,60908.672077046,2.304,0.143,1.1284e-05,2.083e-08,0.704,0.091,"bn250821672
"
GRB210919653                  ,215.16,-77.1,59476.652684692,1.6,1.243,3.3071e-07,1.4253e-08,0.32,0.202,"bn210919653
"
GRB250126208                  ,337.4,-11.61,60701.207534632,100.61,1.145,1.7333e-05,4.4764e-08,83.969,0.572,"bn250126208
"
GRB210826293                  ,64.63,-77.07,59452.292883812,19.712,1.145,1.2052e-05,6.0616e-08,9.728,0.572,"bn210826293
"
GRB190628521                  ,144.08,-77.07,58662.521473614,19.2,2.757,2.2606e-06,5.9783e-08,8.96,1.28,"bn190628521
"
GRB250606187                  ,30.41,-77.05,60832.186595172,6.336,0.528,2.487e-06,2.0778e-08,1.536,0.362,"bn250606187
"
GRB110716018                  ,329.68,-76.98,55758.017592268,7.168,1.747,1.3547e-06,3.4361e-08,1.024,0.32,"bn110716018
"
GRB090810659                  ,168.93,-76.4,55053.659118309,125.182,1.846,9.3687e-06,4.8233e-08,76.289,0.923,"bn090810659
"
GRB180622273                  ,201.56,-76.4,58291.2727141,13.568,2.611,2.0338e-06,6.1856e-08,7.936,1.056,"bn180622273
"
GRB160406570                  ,208.48,-76.37,57484.569783724,66.56,16.836,4.6582e-06,4.8087e-08,43.008,1.145,"bn160406570
"
GRB120114433                  ,263.23,-75.64,55940.433092765,2.752,1.569,1.4875e-07,2.6392e-08,1.408,1.12,"bn120114433
"
GRB220315101                  ,236.09,-76.82,59653.101352718,0.768,0.668,4.1031e-07,2.1466e-08,0.384,0.091,"bn220315101
"
GRB110819665                  ,139.49,-76.64,55792.665219578,16.384,6.149,3.0361e-06,8.2342e-08,2.56,1.145,"bn110819665
"
GRB181022846                  ,216.26,-65.29,58413.846186397,13.824,4.579,7.6459e-07,3.3022e-08,2.816,0.81,"bn181022846
"
GRB250813952                  ,336.728,12.498,60900.952213375,24.064,0.362,1.3979e-05,3.8018e-08,12.288,0.362,"bn250813952
"
GRB190731943                  ,339.94,-76.62,58695.943291303,15.872,0.362,8.8648e-05,3.3848e-08,5.888,0.572,"bn190731943
"
GRB130804023                  ,280.03,-76.15,56508.023096377,0.96,0.091,1.6629e-06,1.5865e-08,0.768,0.091,"bn130804023
"
GRB240216456                  ,46.68,-76.07,60356.456283006,2.432,0.528,2.2702e-06,1.8983e-08,0.704,0.143,"bn240216456
"
GRB250319203                  ,335.24,-62.32,60753.203466016,58.113,10.037,2.5327e-06,3.2755e-08,25.088,1.28,"bn250319203
"
GRB161020759                  ,66.09,-75.65,57681.759177519,24.32,1.557,2.9248e-05,5.4688e-08,11.52,0.572,"bn161020759
"
GRB170121067                  ,3.03,-75.62,57774.067287507,2.304,0.286,1.7268e-06,3.2064e-08,0.832,0.143,"bn170121067
"
GRB230307656                  ,60.8576,-75.3785,60010.655632769,34.561,0.572,0.0031475,2.5734e-07,13.568,0.362,"bn230307656
"
GRB190806675                  ,121.13,-75.36,58701.675385698,20.992,2.374,1.3501e-05,3.5469e-07,11.264,1.864,"bn190806675
"
GRB210721978                  ,31.5333,-75.2167,59416.978156014,9.984,2.721,9.3388e-07,6.1376e-08,2.688,1.088,"bn210721978
"
GRB180614327                  ,52.22,-75.17,58283.327131035,9.216,2.573,4.126e-07,2.3483e-08,3.584,1.639,"bn180614327
"
GRB250824475                  ,311.95,49.55,60911.475212693,58.881,0.81,2.0145e-05,3.4778e-08,46.337,0.362,"bn250824475
"
GRB141022087                  ,119.39,-75.17,56952.086576555,9.216,0.572,8.9994e-05,9.5357e-08,4.608,0.362,"bn141022087
"
GRB100112418                  ,240.14,-75.1,55208.417564295,23.04,0.572,1.0497e-06,1.0969e-08,9.472,0.923,"bn100112418
"
GRB170124874                  ,282.04,-75.51,57777.873684697,22.784,0.572,8.9724e-06,2.343e-08,13.824,0.362,"bn170124874
"
GRB141221897                  ,126.02,-74.21,57012.897092439,32.513,1.846,7.4393e-06,7.1278e-08,13.568,0.81,"bn141221897
"
GRB210411564                  ,115.68,-74.84,59315.564405471,47.873,6.607,3.749e-06,5.6176e-08,13.056,1.145,"bn210411564
"
GRB190304818                  ,357.74,-74.84,58546.817631278,2.88,0.547,2.9826e-06,3.8775e-08,0.832,0.091,"bn190304818
"
GRB121116459                  ,180.88,-74.79,56247.458618061,0.832,0.59,4.9152e-07,1.3754e-08,0.448,0.181,"bn121116459
"
GRB190327111                  ,79.07,-74.67,58569.110543673,36.864,1.448,6.3281e-06,1.2904e-07,16.896,1.639,"bn190327111
"
GRB110212550                  ,311.33,-74.5,55604.550387994,0.064,0.036,6.3493e-07,1.2257e-08,0.032,0.023,"bn110212550
"
GRB161012637                  ,160.43,-74.28,57673.636977472,6.4,3.114,6.1394e-07,2.5983e-08,1.792,0.923,"bn161012637
"
GRB150602840                  ,289.87,-74.21,57175.839799043,10.496,0.724,4.7133e-06,3.3325e-08,4.352,0.362,"bn150602840
"
GRB091117080                  ,246.54,-73.94,55152.080149269,113.664,2.36,3.6824e-06,4.2289e-08,96.0,1.145,"bn091117080
"
GRB200809654                  ,15.8295,-73.8456,59070.653786225,17.408,8.838,1.4822e-06,5.8019e-08,3.328,1.81,"bn200809654
"
GRB181103046                  ,295.48,-73.76,58425.046361209,11.776,3.727,6.0455e-07,3.2265e-08,5.888,0.923,"bn181103046
"
GRB110517453                  ,296.09,-73.76,55698.453187609,0.576,1.81,9.8898e-08,2.3388e-08,0.128,0.405,"bn110517453
"
GRB170304003                  ,330.5,-73.76,57816.003079519,0.16,0.315,3.1497e-07,1.4268e-08,0.048,0.036,"bn170304003
"
GRB140712973                  ,83.48,-73.62,56850.972822834,28.16,8.444,5.0997e-06,1.4995e-07,11.008,1.493,"bn140712973
"
GRB190825171                  ,210.86,-74.14,58720.1714831,12.032,5.345,2.1626e-07,2.2768e-08,6.4,3.727,"bn190825171
"
GRB080714425                  ,187.5,-74.0,54661.425021268,40.192,1.145,1.8139e-06,2.0869e-08,11.776,1.619,"bn080714425
"
GRB201227635                  ,170.121,-73.613,59210.634808039,0.112,0.116,3.429e-06,3.0471e-08,0.032,0.023,"bn201227635
"
GRB090304216                  ,195.9,-73.4,54894.21583515,2.816,0.923,8.9864e-07,1.0197e-07,2.048,0.572,"bn090304216
"
GRB151026523                  ,107.39,-73.32,57321.522672904,63.232,7.952,4.3163e-06,6.9493e-08,39.68,1.145,"bn151026523
"
GRB160625230                  ,314.53,-73.26,57564.230502154,43.265,10.801,3.3536e-06,3.582e-08,9.472,0.81,"bn160625230
"
GRB100604287                  ,248.3,-73.19,55351.287208504,13.44,0.871,5.5087e-06,4.2171e-08,3.968,0.231,"bn100604287
"
GRB140213807                  ,105.218,-73.136,56701.806624395,18.624,0.716,2.1248e-05,6.5441e-08,5.056,0.091,"bn140213807
"
GRB231214850                  ,305.686,-72.433,60292.850285701,20.992,0.572,1.9361e-05,1.8725e-08,13.824,0.362,"bn231214850
"
GRB090922605                  ,38.36,-73.08,55096.604647323,52.736,1.81,4.5135e-06,1.0272e-07,20.224,1.056,"bn090922605
"
GRB190422284                  ,306.66,-73.01,58595.283535822,80.386,0.724,1.3558e-05,5.2002e-08,52.481,0.572,"bn190422284
"
GRB090513941                  ,99.1,-72.9,54964.941381249,11.776,2.064,1.0415e-06,3.0052e-08,6.4,1.28,"bn090513941
"
GRB130425327                  ,17.78,-72.85,56407.327271236,62.209,1.145,4.1678e-05,1.5891e-07,18.432,0.724,"bn130425327
"
GRB160325291                  ,15.6521,-72.6967,57472.291221191,42.945,0.572,1.8598e-05,1.9812e-07,8.576,1.557,"bn160325291
"
GRB091102607                  ,72.6161,-72.5197,55137.607388455,6.656,3.435,1.8772e-06,1.072e-07,2.813,1.618,"bn091102607
"
GRB100926595                  ,222.75,-72.35,55465.595184522,32.256,0.572,6.9728e-06,1.5918e-08,13.568,0.572,"bn100926595
"
GRB200616048                  ,116.16,-72.23,59016.048097578,23.297,3.093,2.758e-06,4.1302e-08,5.632,0.923,"bn200616048
"
GRB090120627                  ,38.1,-72.2,54851.626652308,1.856,0.181,7.6823e-07,2.0788e-08,1.024,0.143,"bn090120627
"
GRB141022061                  ,241.901,-72.129,56952.060978245,11.52,3.083,5.602e-07,2.4573e-08,5.12,0.724,"bn141022061
"
GRB170113420                  ,61.735,-71.933,57766.419561453,49.152,4.136,2.0371e-06,7.9106e-08,30.72,5.345,"bn170113420
"
GRB120827216                  ,222.74,-71.89,56166.215567253,5.056,2.127,3.3669e-06,9.1226e-08,1.984,0.269,"bn120827216
"
GRB100517639                  ,52.73,-71.87,55333.638866026,5.44,0.604,2.9107e-06,1.295e-07,2.816,0.231,"bn100517639
"
GRB191112369                  ,164.42,-72.27,58799.368960561,50.432,3.208,8.2268e-06,1.7774e-07,28.416,1.846,"bn191112369
"
GRB090802666                  ,267.02,-71.77,55045.665549118,27.52,6.192,2.7698e-06,6.7964e-08,11.968,0.659,"bn090802666
"
GRB110618366                  ,176.808,-71.688,55730.366393323,163.843,11.406,6.2375e-05,1.6957e-07,51.201,2.29,"bn110618366
"
GRB090516137                  ,122.2,-71.62,54967.137038994,110.594,4.199,1.6153e-05,1.4397e-07,34.816,1.493,"bn090516137
"
GRB190906767                  ,171.84,-71.57,58732.767468616,23.04,2.318,2.2883e-06,2.9056e-08,4.352,0.572,"bn190906767
"
GRB210501205                  ,357.84,-71.3,59335.204864486,8.192,2.521,4.7016e-07,3.0569e-08,4.096,1.619,"bn210501205
"
GRB130320560                  ,195.539,-71.259,56371.560121927,340.992,1.619,5.7803e-05,1.1794e-06,301.056,0.81,"bn130320560
"
GRB201104001                  ,81.4,-71.1,59157.000656829,52.48,7.428,1.3058e-05,7.4764e-08,6.656,0.81,"bn201104001
"
GRB090927422                  ,343.95,-70.98,55101.421727009,0.512,0.231,3.0258e-07,1.8341e-08,0.32,0.202,"bn090927422
"
GRB250319214                  ,246.18,-70.9,60753.213529067,1.056,0.528,3.1884e-07,4.7861e-09,0.032,0.072,"bn250319214
"
GRB180801492                  ,3.38,-70.68,58331.492154747,7.424,1.145,1.3352e-06,2.3641e-08,2.304,0.724,"bn180801492
"
GRB171212434                  ,39.44,-70.62,58099.433547602,32.001,1.379,5.0312e-06,6.7805e-08,16.896,0.572,"bn171212434
"
GRB230617926                  ,139.45,-70.53,60112.926064777,2.56,1.494,1.4248e-07,1.6109e-08,1.472,0.429,"bn230617926
"
GRB140616165                  ,104.94,-70.51,56824.164642744,0.512,0.821,2.8079e-07,3.3486e-08,0.221,0.202,"bn140616165
"
GRB210520797                  ,123.0,-69.4,59354.796561805,56.065,3.083,2.8451e-06,4.1124e-08,26.369,1.639,"bn210520797
"
GRB090606471                  ,146.94,-70.49,54988.470925957,8.064,1.262,9.4591e-07,8.735e-08,5.568,0.771,"bn090606471
"
GRB120711115                  ,94.69,-71.0,56119.114505721,44.033,0.724,0.00019428,2.2751e-07,25.088,0.724,"bn120711115
"
GRB230709735                  ,267.56,-70.47,60134.735032693,0.192,0.072,5.8382e-06,3.186e-08,0.096,0.072,"bn230709735
"
GRB130505955                  ,344.47,-70.47,56417.955045631,50.241,8.009,9.873e-06,2.8203e-07,20.48,1.346,"bn130505955
"
GRB200120962                  ,137.134,-70.4363,58868.961751597,12.8,2.919,8.6054e-06,1.4529e-07,3.584,0.81,"bn200120962
"
GRB191111547                  ,239.41,-70.42,58798.546652683,158.212,7.209,8.6363e-06,7.6276e-08,119.811,19.458,"bn191111547
"
GRB260109156                  ,307.28,-68.98,61049.155842471,6.4,2.064,8.1333e-07,1.5384e-08,2.048,0.572,"bn260109156
"
GRB171020813                  ,234.6,-70.16,58046.812877379,19.2,1.95,1.9737e-06,3.1556e-08,8.448,0.923,"bn171020813
"
GRB080717543                  ,147.3,-70.0,54664.543463202,36.608,2.985,4.4599e-06,7.6842e-08,13.056,0.81,"bn080717543
"
GRB130327350                  ,218.09,-69.51,56378.350046883,31.233,0.724,5.1995e-05,8.0581e-08,18.688,0.362,"bn130327350
"
GRB100429999                  ,89.09,-69.96,55315.999903237,25.024,6.582,2.7847e-06,4.3148e-08,6.656,0.547,"bn100429999
"
GRB230415474                  ,61.71,-69.94,60049.473598778,0.416,1.113,2.3746e-07,3.2074e-08,0.032,0.072,"bn230415474
"
GRB180630335                  ,133.07,-69.94,58299.335405826,48.896,5.724,2.9586e-06,3.6047e-08,15.872,1.379,"bn180630335
"
GRB210119121                  ,282.804,-61.801,59233.120946988,0.048,0.058,1.8742e-07,1.3715e-08,0.016,0.023,"bn210119121
"
GRB120107384                  ,246.4,-69.93,55933.383511698,23.04,0.143,6.532e-06,4.4356e-08,16.192,0.231,"bn120107384
"
GRB080905570                  ,96.9,-69.8,54714.570478892,26.624,2.896,4.0911e-06,5.6276e-08,9.211,2.287,"bn080905570
"
GRB251102886                  ,110.62,-69.71,60981.886039937,8.256,0.716,1.706e-06,3.6814e-08,1.344,0.231,"bn251102886
"
GRB250929838                  ,58.17,-60.18,60947.837583082,9.728,2.919,5.1516e-07,2.0261e-08,3.328,0.724,"bn250929838
"
GRB200420106                  ,304.61,-20.27,58959.106233768,0.32,1.036,5.6547e-08,1.0096e-08,0.16,0.115,"bn200420106
"
GRB131204937                  ,309.67,-69.67,56630.936779939,29.952,1.056,1.6482e-06,2.4064e-08,17.408,0.572,"bn131204937
"
GRB220730659                  ,225.021,-69.497,59790.658970279,0.16,0.288,9.3652e-07,2.8777e-08,0.048,0.023,"bn220730659
"
GRB140322424                  ,250.3,-69.45,56738.424345656,10.496,2.111,2.0052e-06,2.7716e-08,4.096,0.572,"bn140322424
"
GRB150902733                  ,214.926,-69.361,57267.733094517,13.568,0.362,8.3192e-05,5.1999e-08,4.608,0.362,"bn150902733
"
GRB170625692                  ,106.7,-69.35,57929.691521458,22.784,8.798,1.9512e-06,7.4965e-08,8.704,2.111,"bn170625692
"
GRB240519213                  ,293.91,-69.35,60449.213187524,11.325,0.407,8.1484e-06,3.6975e-08,5.888,0.362,"bn240519213
"
GRB180804931                  ,109.36,-69.32,58334.930998653,18.432,4.672,8.1538e-06,8.2767e-08,4.352,0.724,"bn180804931
"
GRB090725838                  ,281.88,-69.49,55037.837737871,13.76,1.229,2.3588e-06,4.6878e-08,8.448,0.859,"bn090725838
"
GRB140110411                  ,50.64,-69.29,56667.411160529,0.768,0.345,4.5951e-08,5.5071e-09,0.32,0.091,"bn140110411
"
GRB221203537                  ,355.06,-68.97,59916.536799238,3.52,0.945,8.1981e-07,2.0933e-08,1.216,0.231,"bn221203537
"
GRB130218261                  ,69.31,-69.13,56341.26140698,37.121,3.665,9.4331e-06,1.0626e-07,19.2,0.923,"bn130218261
"
GRB130420422                  ,117.06,-69.03,56402.422328681,27.328,5.101,3.7707e-06,4.5941e-08,5.376,1.305,"bn130420422
"
GRB081226044                  ,120.5,-69.0,54826.044184332,0.832,1.032,4.303e-07,2.3188e-08,0.32,0.264,"bn081226044
"
GRB171024977                  ,210.53,-68.91,58050.977310514,35.072,5.838,9.4493e-07,3.4373e-08,11.776,1.493,"bn171024977
"
GRB240222369                  ,143.248,-68.029,60362.369114199,3.776,0.466,4.8433e-07,3.3155e-08,0.768,0.405,"bn240222369
"
GRB210126417                  ,70.68,-67.94,59240.416734834,61.441,6.734,3.9751e-06,9.839e-08,15.36,2.111,"bn210126417
"
GRB240807238                  ,300.967,-68.7861,60529.238023157,7.68,3.444,6.7686e-07,5.7233e-08,1.792,0.81,"bn240807238
"
GRB250804960                  ,1.37,-68.7,60891.960072787,15.872,0.572,5.3965e-06,2.8772e-08,5.888,0.362,"bn250804960
"
GRB250421443                  ,249.06,-59.86,60786.443418336,10.24,0.923,2.5096e-06,3.0285e-08,2.816,0.572,"bn250421443
"
GRB090719063                  ,341.27,-67.86,55031.06350245,11.392,0.466,4.6848e-05,1.5783e-07,3.904,0.143,"bn090719063
"
GRB180804765                  ,139.67,-68.9,58334.765505158,21.504,3.415,3.5109e-06,1.1637e-07,10.752,2.111,"bn180804765
"
GRB090411838                  ,156.0,-68.9,54932.837926955,21.501,3.237,6.6659e-06,1.0262e-07,9.216,1.448,"bn090411838
"
GRB221021388                  ,218.71,-68.58,59873.387797919,68.353,2.721,1.367e-05,6.8946e-08,15.872,0.724,"bn221021388
"
GRB240107803                  ,292.46,-68.3,60316.803121587,60.161,4.404,6.2274e-06,2.091e-07,38.145,1.379,"bn240107803
"
GRB250828500                  ,218.31,-68.26,60915.500029127,54.784,1.999,1.5602e-06,3.4506e-08,41.216,1.81,"bn250828500
"
GRB221201517                  ,266.923,-68.251,59914.517191145,28.929,0.81,1.8118e-05,2.7126e-08,6.144,0.362,"bn221201517
"
GRB160716144                  ,189.61,-68.04,57585.143637686,28.928,1.28,2.8781e-06,3.1222e-08,11.776,1.639,"bn160716144
"
GRB180906759                  ,270.12,-67.67,58367.758633528,13.309,1.055,3.6221e-06,1.7578e-08,3.584,0.724,"bn180906759
"
GRB100605774                  ,273.43,-67.6,55352.774429905,8.192,2.862,7.5654e-07,2.1743e-08,3.072,0.81,"bn100605774
"
GRB110316139                  ,46.7,-67.58,55636.138678971,2.944,2.199,1.1497e-07,3.3169e-08,1.28,1.802,"bn110316139
"
GRB231123809                  ,163.24,-67.55,60271.809276694,52.481,2.862,2.2087e-06,5.1308e-08,23.297,2.919,"bn231123809
"
GRB191220589                  ,211.77,-67.51,58837.589227589,27.905,1.056,1.8048e-05,4.2635e-08,10.496,0.572,"bn191220589
"
GRB180703876                  ,6.54,-67.1,58302.876163137,20.736,1.557,1.6251e-05,4.2888e-08,6.144,0.362,"bn180703876
"
GRB230723194                  ,22.909,-67.059,60148.193558643,0.768,0.231,3.4556e-07,4.8242e-08,0.384,0.326,"bn230723194
"
GRB240422112                  ,255.61,-67.43,60422.111799389,28.16,2.673,8.4572e-07,2.8375e-08,18.944,1.086,"bn240422112
"
GRB180721642                  ,235.15,12.92,58320.642452938,0.064,0.072,4.3443e-08,1.5102e-08,0.032,0.091,"bn180721642
"
GRB081006604                  ,142.0,-67.4,54745.603867738,6.4,0.923,8.3329e-07,1.871e-08,2.301,0.571,"bn081006604
"
GRB090524346                  ,329.5,-67.4,54975.34578974,54.337,0.87,1.6588e-05,6.0659e-08,37.121,0.264,"bn090524346
"
GRB150404733                  ,165.91,-67.37,57116.732681934,4.864,1.95,6.1093e-07,2.9136e-08,1.408,0.462,"bn150404733
"
GRB180723133                  ,130.03,-67.15,58322.132515471,3.072,0.923,5.2896e-07,1.4984e-08,1.024,0.362,"bn180723133
"
GRB100719311                  ,304.87,-67.14,55396.311315081,1.6,0.854,3.8679e-07,3.6631e-08,0.512,0.286,"bn100719311
"
GRB260129421                  ,0.36,-67.05,61069.421500789,24.832,2.919,6.0222e-07,3.2753e-08,17.92,2.757,"bn260129421
"
GRB180906597                  ,104.81,-67.02,58367.597127074,52.03,2.127,3.7165e-06,3.1434e-08,30.209,1.619,"bn180906597
"
GRB090819607                  ,49.08,-67.12,55062.607262364,0.192,0.202,2.7212e-07,1.9464e-08,0.064,0.091,"bn090819607
"
GRB200908886                  ,169.53,-66.97,59100.885896178,6.144,2.187,1.2339e-06,1.0852e-07,2.048,0.724,"bn200908886
"
GRB131118958                  ,349.863,-66.833,56614.957609551,85.249,4.382,6.754e-05,4.0312e-07,44.289,0.923,"bn131118958
"
GRB170323775                  ,348.83,-66.81,57835.775332588,35.328,5.4,3.7589e-06,2.527e-08,13.824,0.572,"bn170323775
"
GRB181128751                  ,182.82,-66.74,58450.75132164,17.664,1.619,1.5219e-06,4.2012e-08,9.728,1.619,"bn181128751
"
GRB251208393                  ,32.83,-66.66,61017.39302532,2.176,0.389,8.59e-07,1.6027e-08,0.96,0.202,"bn251208393
"
GRB181208188                  ,104.11,-66.66,58460.188009413,62.465,4.167,8.1001e-06,3.8653e-08,27.904,0.724,"bn181208188
"
GRB110911071                  ,258.58,-66.98,55815.070620007,8.96,4.352,5.9377e-07,8.3461e-08,3.84,2.429,"bn110911071
"
GRB250708619                  ,255.14,13.04,60864.61947859,11.264,1.557,2.4123e-06,4.0361e-08,5.632,0.81,"bn250708619
"
GRB240613991                  ,262.18,-66.14,60474.99067091,3.072,0.572,9.7873e-07,2.5897e-08,1.792,0.362,"bn240613991
"
GRB111107035                  ,129.478,-66.52,55872.03501718,12.032,0.923,9.073e-07,3.4762e-08,5.376,1.086,"bn111107035
"
