NAME,RA,DEC,TRIGGER_TIME,T90,T90_ERROR,FLUENCE,FLUENCE_ERROR,T50,T50_ERROR,TRIGGER_NAME
GRB101123952                  ,135.16,1.91,55523.952488119,103.938,0.572,0.00011747,5.288e-08,36.353,0.81,"bn101123952
"
GRB240824549                  ,17.835,2.62,60546.549498828,1.472,0.5,2.4384e-07,1.9036e-08,0.896,0.286,"bn240824549
"
GRB170808936                  ,145.66,2.18,57973.935915489,17.664,0.572,0.00011591,1.5636e-07,8.704,0.362,"bn170808936
"
GRB170709334                  ,310.04,2.2,57943.333610873,1.856,0.898,6.8308e-07,1.767e-08,0.704,0.091,"bn170709334
"
GRB250307832                  ,265.64,2.21,60741.831871919,11.837,1.072,3.9639e-06,3.9392e-08,4.352,0.572,"bn250307832
"
GRB260115741                  ,110.21,3.29,61055.740808806,3.392,0.286,1.2982e-06,1.347e-08,0.704,0.231,"bn260115741
"
GRB160301215                  ,114.4,2.29,57448.215492116,29.697,3.62,5.9349e-06,4.0752e-08,7.68,0.572,"bn160301215
"
GRB210417957                  ,157.46,2.32,59321.956794466,0.832,0.466,1.598e-07,4.7363e-08,0.448,0.572,"bn210417957
"
GRB210404141                  ,175.55,2.34,59308.14123146,1.344,0.746,2.1673e-07,1.5176e-08,0.64,0.389,"bn210404141
"
GRB230129254                  ,111.94,2.35,59973.253716986,0.384,0.143,1.2396e-07,2.2142e-08,0.256,0.202,"bn230129254
"
GRB250531752                  ,170.84,5.38,60826.751672725,12.544,3.338,2.5051e-06,5.4464e-08,7.424,0.724,"bn250531752
"
GRB101003244                  ,175.85,2.49,55472.243842685,9.984,1.448,2.2312e-06,3.2664e-08,3.84,0.572,"bn101003244
"
GRB210812011                  ,183.66,2.37,59438.011015437,37.633,1.81,2.1444e-06,4.4004e-08,16.128,2.919,"bn210812011
"
GRB110806934                  ,112.04,2.38,55779.9343879,28.416,0.923,7.1898e-06,2.8168e-08,13.824,0.362,"bn110806934
"
