CLASS,DEC_Counterpart,Energy_Flux100,Flux1000,Frac_Variability,LP_Index,PL_Index,RAJ2000,RA_Counterpart,Redshift,SED_class,Source_Name,Unc_Energy_Flux100,Unc_Flux1000,Unc_Frac_Variability,Unc_LP_Index,Unc_PL_Index,Variability_Index
b'bll',53.2666798722,8.897505e-12,7.8508416e-10,0.52736855,1.9239753,1.9497385,90.5148,90.501855025,0.052,,b'4FGL J0602.0+5315',5.4645297e-13,4.789919e-11,0.13299097,0.054362565,0.044392835,64.10905
b'bll',-0.0742814638889,3.844527e-12,3.295977e-10,0.0,2.2410822,2.237752,90.6953,90.6787112542,0.118,,b'4FGL J0602.7-0007',8.3354005e-13,6.229154e-11,10.0,0.13924353,0.1268454,11.803212
b'bll',-40.312583923339844,1.1230812e-11,1.272931e-09,0.2235359,1.7324057,1.9207456,90.7166,90.71371459960938,-inf,,b'4FGL J0602.8-4019',7.5829924e-13,6.225801e-11,0.07332096,0.064587526,0.034787267,32.06735
b'bcu',60.6699816778,1.4291694e-12,1.1155057e-10,0.0,2.3544068,2.3670664,90.7229,90.8544500792,-inf,,b'4FGL J0602.8+6041',3.6714726e-13,2.5825658e-11,10.0,0.22051494,0.15677346,8.692162
b'bcu',-29.64222526550293,1.6044633e-12,1.01582055e-10,0.0,2.4698415,2.5562568,90.7622,90.71475219726562,-inf,b'LSP',b'4FGL J0603.0-2936',3.6506657e-13,2.4669307e-11,10.0,0.26479688,0.16183774,4.3366446
b'bll',-48.2903198806,2.8710673e-12,2.3106063e-10,0.5134092,1.7374063,1.7936169,91.0477,91.0359259375,0.37,b'HSP',b'4FGL J0604.1-4816',3.8113444e-13,3.223136e-11,0.19786508,0.117722936,0.08800779,19.307114
b'bcu',-48.8299014,1.2835535e-12,1.0388217e-10,0.6019659,2.3185449,2.3239748,91.1392,91.1378757917,-inf,b'LSP',b'4FGL J0604.5-4851',3.342645e-13,2.3929867e-11,0.5976152,0.17711328,0.16796504,20.26074
b'bcu',44.2329301722,5.0829102e-12,4.2811857e-10,1.3018534,2.4041934,2.523516,91.207,91.1484532708,1.136,b'LSP',b'4FGL J0604.8+4411',6.6428666e-13,4.692329e-11,0.29259717,0.11018622,0.06847729,163.00485
b'bcu',0.0120407444444,4.789927e-12,5.777457e-10,0.0,2.007337,2.0985293,91.241,91.2434081,-inf,,b'4FGL J0604.9-0000',8.360073e-13,7.16951e-11,10.0,0.13114864,0.079443574,9.806593
b'bcu',-47.4985676083,3.2917826e-12,2.90239e-10,0.29812095,1.8839695,1.9476714,91.6416,91.6488892208,0.029771,b'HSP',b'4FGL J0606.5-4730',3.82401e-13,3.369198e-11,0.2016262,0.10959132,0.08005006,17.10137
b'bcu',44.0280218278,7.015282e-13,2.6678973e-11,0.0,1.4632328,1.6922891,91.7422,91.70924665,-inf,,b'4FGL J0606.9+4402',2.5129565e-13,9.523892e-12,10.0,0.54230887,0.21453644,15.415199
b'bll',-25.316099166870117,1.8704567e-12,1.6179168e-10,0.3077617,1.8393474,1.9033226,91.818,91.80960083007812,0.275,,b'4FGL J0607.2-2518',3.2136167e-13,2.7937751e-11,0.3744855,0.14618635,0.10942477,14.332238
b'bll',47.6630394694,2.8119831e-11,3.0910126e-09,0.25974014,1.9496961,2.0530941,91.8571,91.8468958167,-inf,b'LSP',b'4FGL J0607.4+4739',1.0158795e-12,8.859999e-11,0.061597195,0.02981397,0.019185327,109.009094
b'fsrq',67.3487250194,4.5915407e-12,4.0006487e-10,0.73008716,2.3739955,2.4792988,92.0057,91.9694650833,1.97,b'LSP',b'4FGL J0608.0+6721',4.763443e-13,3.663846e-11,0.17514852,0.08044865,0.058346543,89.0411
b'fsrq',-8.58054951944,2.062922e-11,1.8934025e-09,0.7566275,2.323459,2.4040427,92.0101,91.9987468375,0.87,b'LSP',b'4FGL J0608.0-0835',1.1112206e-12,9.221439e-11,0.16623053,0.046016227,0.030820062,335.96204
b'fsrq',-60.5311087611,3.5817245e-12,1.7174402e-10,0.7339304,2.714902,2.7485747,92.028,91.9795282292,1.1,b'LSP',b'4FGL J0608.1-6028',6.868641e-13,2.8759013e-11,0.21405938,0.22695668,0.123821735,39.172615
b'fsrq',-15.3436052083,1.1143696e-11,8.059429e-10,1.1403486,2.4248316,2.5453124,92.0302,92.0063830458,1.094,b'LSP',b'4FGL J0608.1-1521',7.4842395e-13,6.0844434e-11,0.24975881,0.0688677,0.043475028,373.10196
b'bcu',-54.9452452944,4.6491153e-12,2.9620678e-10,0.77707577,2.4804556,2.672079,92.2387,92.2044149542,-inf,b'LSP',b'4FGL J0608.9-5456',5.1288005e-13,3.4173768e-11,0.18351576,0.12274025,0.06502069,111.13025
b'fsrq',-22.3391546389,2.7275534e-12,2.2740843e-10,0.5480215,2.2406828,2.2833314,92.262,92.2486951625,1.926,b'LSP',b'4FGL J0609.0-2219',4.3563967e-13,3.5247034e-11,0.22360578,0.1809722,0.11166393,25.256601
b'bll',-2.79852204167,7.95877e-12,8.982103e-10,0.0,1.6165236,1.8743973,92.3114,92.312780475,-inf,,b'4FGL J0609.2-0247',7.695478e-13,7.46419e-11,10.0,0.10343572,0.04914311,9.075209
b'bll',-18.7944698722,4.55435e-12,4.8215854e-10,0.39083835,2.2424922,2.3102927,92.5455,92.5745253542,-inf,b'LSP',b'4FGL J0610.1-1848',6.6766465e-13,4.9461532e-11,0.13809137,0.105955765,0.07085042,25.989388
b'fsrq',-60.9771557806,3.7525556e-12,2.68678e-10,0.54699886,2.6485252,2.6498196,92.7305,92.626230725,1.773,b'LSP',b'4FGL J0610.9-6054',7.3747817e-13,3.3116728e-11,0.17466289,0.12825345,0.081093304,33.365543
b'bcu',43.4084408444,4.269682e-12,4.4589824e-10,0.0,1.7545592,1.9211518,92.7984,92.7854442125,-inf,,b'4FGL J0611.1+4325',5.49816e-13,4.785448e-11,10.0,0.12740731,0.06961466,9.309434
b'bcu',-27.14488983154297,6.4949456e-12,6.2665206e-10,1.3786103,2.2410877,2.3601713,92.9115,92.94200134277344,-inf,,b'4FGL J0611.6-2712',5.371117e-13,4.6334343e-11,0.3002089,0.0763217,0.04852457,437.51813
b'fsrq',-31.649498675,5.069582e-12,3.3040176e-10,0.51225775,2.5328248,2.5335274,93.128,93.1236015,0.873,b'LSP',b'4FGL J0612.5-3138',5.143855e-13,3.6813684e-11,0.14671798,0.08057802,0.07418649,40.075348
b'bcu',-39.6498004194,2.1196437e-12,1.4664164e-10,0.54009485,2.3490512,2.4840672,93.1416,93.1574832167,-inf,,b'4FGL J0612.5-3934',4.3985177e-13,2.8478856e-11,0.2465549,0.27777103,0.1521876,19.99519
b'bll',41.3770578472,3.9690886e-11,4.6895634e-09,0.20574366,1.846384,1.9961724,93.2218,93.2132718292,-inf,b'ISP',b'4FGL J0612.8+4122',1.2224022e-12,1.108848e-10,0.049380105,0.027315412,0.015481221,92.30578
b'bll',71.12470245361328,1.4106356e-12,1.2690789e-10,0.65900177,2.044361,2.0410213,93.4141,93.43209838867188,0.267,b'ISP',b'4FGL J0613.6+7108',3.1116784e-13,2.8500584e-11,0.317243,0.15114813,0.15304019,29.013716
b'bcu',61.6522968,2.2466725e-12,1.8152123e-10,0.70558476,2.7546163,2.5149791,93.7213,93.6757492083,-inf,,b'4FGL J0614.8+6136',4.447829e-13,3.635562e-11,0.21892047,0.25902423,0.10695411,34.47391
b'bll',-31.2893266944,3.5118885e-12,3.1186545e-10,0.5846123,2.1409812,2.154296,93.8394,93.8300491,-inf,b'ISP',b'4FGL J0615.3-3117',4.208255e-13,3.6304376e-11,0.18588184,0.105490394,0.0941566,30.69809
b'bll',-17.55152702331543,1.0005558e-12,4.7789783e-11,0.0,1.446383,1.7755752,94.0356,94.04287719726562,-inf,b'HSP',b'4FGL J0616.1-1732',3.1086827e-13,1.4479679e-11,10.0,0.48105904,0.18852398,8.2721615
b'bcu',-10.6856820111,5.057049e-12,2.5233535e-10,0.44614163,2.8664234,2.7695487,94.1761,94.1741983333,-inf,,b'4FGL J0616.7-1049',1.112553e-12,6.1756496e-11,0.20030385,0.2161243,0.10845903,19.679768
b'bcu',43.67451477050781,1.2203319e-12,1.032704e-10,0.0,1.843014,1.864045,94.2405,94.2613525390625,-inf,,b'4FGL J0616.9+4340',3.2576402e-13,3.2099632e-11,10.0,0.22201455,0.19634736,7.4234114
b'bll',57.0212286667,1.1759567e-11,1.2501011e-09,0.29502088,1.9793323,2.0491354,94.3162,94.3205107042,-inf,b'LSP',b'4FGL J0617.2+5701',7.526786e-13,5.6467088e-11,0.07767284,0.05134422,0.032343432,54.811657
b'bll',-17.2569680306,8.877848e-12,9.622914e-10,0.25995556,1.8056031,1.9408891,94.4251,94.3892439292,0.098,b'ISP',b'4FGL J0617.7-1715',7.568833e-13,6.376469e-11,0.09737827,0.074556686,0.044507965,25.208021
