date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
8.48,11.0,0.244,0.0039,0.0024,0.0036
11.0,16.6,0.08436,0.00147,0.00084,0.00125
16.6,22.8,0.02418,0.00065,0.00024,0.00036
22.8,41.9,0.005806,0.000151,5.8e-05,8.6e-05
1.0,1.71,20.57,0.71,0.41,0.6
1.71,2.97,9.944,0.078,0.149,0.211
2.97,4.02,4.332,0.044,0.043,0.071
4.02,5.9,1.885,0.017,0.019,0.028
5.9,7.09,0.8376,0.012,0.0084,0.0125
7.09,8.48,0.4763,0.0078,0.0048,0.0071
8.48,11.0,0.2458,0.004,0.0025,0.0037
11.0,16.6,0.083,0.00147,0.00083,0.00123
16.6,22.8,0.02459,0.00066,0.00025,0.00037
22.8,41.9,0.006084,0.000154,6.1e-05,9e-05
1.0,1.71,20.64,0.44,0.41,0.6
1.71,2.97,9.817,0.077,0.147,0.208
2.97,4.02,4.214,0.043,0.042,0.069
4.02,5.9,1.814,0.017,0.018,0.027
5.9,7.09,0.8133,0.0115,0.0081,0.0121
7.09,8.48,0.4737,0.0075,0.0047,0.007
8.48,11.0,0.2504,0.0039,0.0025,0.0037
11.0,16.6,0.08177,0.00141,0.00082,0.00122
16.6,22.8,0.02423,0.00064,0.00024,0.00036
22.8,41.9,0.005879,0.000148,5.9e-05,8.7e-05
1.0,1.71,22.06,0.66,0.44,0.64
1.71,2.97,10.52,0.19,0.16,0.22
2.97,4.02,4.627,0.096,0.046,0.076
4.02,5.9,1.968,0.038,0.02,0.029
5.9,7.09,0.8006,0.0244,0.008,0.0119
7.09,8.48,0.4758,0.016,0.0048,0.0071
8.48,11.0,0.2271,0.0077,0.0023,0.0034
11.0,16.6,0.07413,0.00267,0.00074,0.0011
16.6,22.8,0.02775,0.00136,0.00028,0.00041
22.8,41.9,0.005827,0.000323,5.8e-05,8.7e-05
1.0,1.71,19.97,0.82,0.4,0.58
1.71,2.97,9.332,0.084,0.14,0.198
2.97,4.02,4.121,0.048,0.041,0.068
