date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
4.02,5.9,1.95,0.029,0.02,0.029
5.9,7.09,0.8711,0.011,0.0087,0.013
7.09,8.48,0.5261,0.0134,0.0053,0.0078
8.48,11.0,0.2498,0.0066,0.0025,0.0037
11.0,16.6,0.09398,0.00259,0.00094,0.0014
16.6,22.8,0.02571,0.00112,0.00026,0.00038
22.8,41.9,0.006142,0.000265,6.1e-05,9.1e-05
1.0,1.71,16.47,0.55,0.33,0.48
1.71,2.97,8.815,0.084,0.132,0.187
2.97,4.02,4.175,0.051,0.042,0.068
4.02,5.9,1.832,0.02,0.018,0.027
5.9,7.09,0.8244,0.0136,0.0082,0.0123
7.09,8.48,0.5059,0.0092,0.0051,0.0075
8.48,11.0,0.2551,0.0046,0.0026,0.0038
11.0,16.6,0.08572,0.0017,0.00086,0.00127
16.6,22.8,0.02584,0.00076,0.00026,0.00038
22.8,41.9,0.005731,0.000171,5.7e-05,8.5e-05
1.0,1.71,15.88,0.33,0.32,0.46
1.71,2.97,8.634,0.068,0.13,0.183
2.97,4.02,4.181,0.04,0.042,0.069
4.02,5.9,1.868,0.016,0.019,0.028
5.9,7.09,0.8821,0.0113,0.0088,0.0131
7.09,8.48,0.5011,0.0073,0.005,0.0075
8.48,11.0,0.2591,0.0038,0.0026,0.0039
11.0,16.6,0.08563,0.00138,0.00086,0.00127
16.6,22.8,0.02597,0.00062,0.00026,0.00039
22.8,41.9,0.005888,0.000142,5.9e-05,8.8e-05
1.0,1.71,15.42,0.32,0.31,0.45
1.71,2.97,8.553,0.068,0.128,0.181
2.97,4.02,4.186,0.04,0.042,0.069
4.02,5.9,1.9,0.016,0.019,0.028
5.9,7.09,0.874,0.0113,0.0087,0.013
7.09,8.48,0.4995,0.0074,0.005,0.0074
8.48,11.0,0.2556,0.0038,0.0026,0.0038
11.0,16.6,0.08536,0.00138,0.00085,0.00127
16.6,22.8,0.02673,0.00063,0.00027,0.0004
22.8,41.9,0.006161,0.000146,6.2e-05,9.2e-05
1.0,1.71,15.43,0.36,0.31,0.45
1.71,2.97,8.532,0.067,0.128,0.181
2.97,4.02,4.204,0.04,0.042,0.069
4.02,5.9,1.874,0.016,0.019,0.028
5.9,7.09,0.8627,0.0111,0.0086,0.0128
7.09,8.48,0.5046,0.0074,0.005,0.0075
8.48,11.0,0.2548,0.0037,0.0025,0.0038
11.0,16.6,0.08651,0.00138,0.00087,0.00129
16.6,22.8,0.02665,0.00063,0.00027,0.0004
22.8,41.9,0.006042,0.000144,6e-05,9e-05
1.0,1.71,14.71,0.31,0.29,0.43
1.71,2.97,8.599,0.067,0.129,0.182
2.97,4.02,4.192,0.04,0.042,0.069
4.02,5.9,1.893,0.016,0.019,0.028
5.9,7.09,0.8627,0.0112,0.0086,0.0128
7.09,8.48,0.493,0.0073,0.0049,0.0073
8.48,11.0,0.2516,0.0037,0.0025,0.0037
11.0,16.6,0.08809,0.0014,0.00088,0.00131
16.6,22.8,0.02671,0.00063,0.00027,0.0004
22.8,41.9,0.005914,0.000143,5.9e-05,8.8e-05
1.0,1.71,15.06,0.32,0.3,0.44
1.71,2.97,8.616,0.067,0.129,0.183
2.97,4.02,4.2,0.04,0.042,0.069
4.02,5.9,1.888,0.016,0.019,0.028
5.9,7.09,0.8542,0.0111,0.0085,0.0127
7.09,8.48,0.4952,0.0073,0.005,0.0074
8.48,11.0,0.2571,0.0037,0.0026,0.0038
11.0,16.6,0.08948,0.0014,0.00089,0.00133
16.6,22.8,0.02674,0.00063,0.00027,0.0004
22.8,41.9,0.005917,0.000143,5.9e-05,8.8e-05
1.0,1.71,16.02,0.4,0.32,0.46
1.71,2.97,8.739,0.069,0.131,0.185
2.97,4.02,4.186,0.04,0.042,0.069
4.02,5.9,1.873,0.016,0.019,0.028
5.9,7.09,0.8597,0.0112,0.0086,0.0128
7.09,8.48,0.4919,0.0073,0.0049,0.0073
8.48,11.0,0.2552,0.0038,0.0026,0.0038
11.0,16.6,0.08774,0.00139,0.00088,0.0013
16.6,22.8,0.02608,0.00062,0.00026,0.00039
22.8,41.9,0.005573,0.000138,5.6e-05,8.3e-05
1.0,1.71,15.92,0.43,0.32,0.46
1.71,2.97,8.585,0.067,0.129,0.182
2.97,4.02,4.145,0.039,0.041,0.068
4.02,5.9,1.841,0.016,0.018,0.027
5.9,7.09,0.8526,0.0111,0.0085,0.0127
7.09,8.48,0.5073,0.0074,0.0051,0.0075
8.48,11.0,0.2555,0.0038,0.0026,0.0038
11.0,16.6,0.08772,0.0014,0.00088,0.0013
16.6,22.8,0.02529,0.00062,0.00025,0.00038
22.8,41.9,0.005681,0.00014,5.7e-05,8.4e-05
1.0,1.71,14.81,0.33,0.3,0.43
1.71,2.97,8.585,0.068,0.129,0.182
2.97,4.02,4.091,0.04,0.041,0.067
4.02,5.9,1.821,0.016,0.018,0.027
5.9,7.09,0.8476,0.0111,0.0085,0.0126
7.09,8.48,0.4916,0.0073,0.0049,0.0073
8.48,11.0,0.2557,0.0038,0.0026,0.0038
11.0,16.6,0.08802,0.0014,0.00088,0.00131
16.6,22.8,0.02626,0.00063,0.00026,0.00039
22.8,41.9,0.005861,0.000142,5.9e-05,8.7e-05
1.0,1.71,15.22,0.37,0.3,0.44
1.71,2.97,8.466,0.066,0.127,0.18
2.97,4.02,4.031,0.039,0.04,0.066
4.02,5.9,1.781,0.016,0.018,0.027
5.9,7.09,0.8383,0.011,0.0084,0.0125
7.09,8.48,0.4949,0.0073,0.0049,0.0074
8.48,11.0,0.2541,0.0037,0.0025,0.0038
11.0,16.6,0.08641,0.00138,0.00086,0.00128
16.6,22.8,0.02625,0.00063,0.00026,0.00039
22.8,41.9,0.005755,0.000141,5.8e-05,8.6e-05
1.0,1.71,15.21,0.39,0.31,0.44
1.71,2.97,8.321,0.067,0.125,0.177
2.97,4.02,4.017,0.039,0.04,0.066
4.02,5.9,1.808,0.016,0.018,0.027
5.9,7.09,0.8373,0.011,0.0084,0.0124
7.09,8.48,0.488,0.0073,0.0049,0.0073
8.48,11.0,0.2534,0.0037,0.0025,0.0038
11.0,16.6,0.08611,0.00138,0.00086,0.00128
16.6,22.8,0.02476,0.00061,0.00025,0.00037
22.8,41.9,0.006134,0.000145,6.1e-05,9.1e-05
1.0,1.71,14.75,0.34,0.3,0.43
1.71,2.97,8.306,0.065,0.125,0.176
2.97,4.02,3.976,0.038,0.04,0.065
4.02,5.9,1.797,0.016,0.018,0.027
5.9,7.09,0.8291,0.0109,0.0083,0.0123
7.09,8.48,0.4901,0.0073,0.0049,0.0073
8.48,11.0,0.2423,0.0037,0.0024,0.0036
11.0,16.6,0.08616,0.00138,0.00086,0.00128
16.6,22.8,0.02626,0.00063,0.00026,0.00039
22.8,41.9,0.005931,0.000143,5.9e-05,8.8e-05
1.0,1.71,14.33,0.33,0.29,0.42
1.71,2.97,8.359,0.067,0.125,0.177
2.97,4.02,4.093,0.04,0.041,0.067
4.02,5.9,1.811,0.016,0.018,0.027
5.9,7.09,0.8507,0.0111,0.0085,0.0126
7.09,8.48,0.4855,0.0072,0.0049,0.0072
8.48,11.0,0.2502,0.0037,0.0025,0.0037
11.0,16.6,0.08852,0.0014,0.00089,0.00132
16.6,22.8,0.02531,0.00061,0.00025,0.00038
22.8,41.9,0.005978,0.000144,6e-05,8.9e-05
1.0,1.71,15.13,0.32,0.3,0.44
1.71,2.97,8.423,0.065,0.126,0.179
2.97,4.02,4.061,0.039,0.041,0.067
4.02,5.9,1.817,0.016,0.018,0.027
5.9,7.09,0.8441,0.0111,0.0084,0.0126
7.09,8.48,0.483,0.0072,0.0048,0.0072
8.48,11.0,0.2557,0.0037,0.0026,0.0038
11.0,16.6,0.08437,0.00136,0.00084,0.00125
16.6,22.8,0.02689,0.00063,0.00027,0.0004
22.8,41.9,0.00604,0.000144,6e-05,9e-05
1.0,1.71,14.21,0.61,0.29,0.41
1.71,2.97,8.501,0.068,0.128,0.181
2.97,4.02,4.063,0.039,0.041,0.067
4.02,5.9,1.82,0.016,0.018,0.027
5.9,7.09,0.8586,0.0112,0.0086,0.0128
7.09,8.48,0.4978,0.0074,0.005,0.0074
8.48,11.0,0.2584,0.0038,0.0026,0.0038
11.0,16.6,0.08708,0.00142,0.00087,0.00129
16.6,22.8,0.02561,0.00064,0.00026,0.00038
22.8,41.9,0.005983,0.000146,6e-05,8.9e-05
1.0,1.71,15.38,0.27,0.31,0.45
1.71,2.97,8.426,0.065,0.126,0.179
2.97,4.02,4.091,0.039,0.041,0.067
4.02,5.9,1.799,0.016,0.018,0.027
5.9,7.09,0.8147,0.0111,0.0081,0.0121
7.09,8.48,0.4788,0.0074,0.0048,0.0071
8.48,11.0,0.2529,0.0038,0.0025,0.0038
11.0,16.6,0.08693,0.00143,0.00087,0.00129
16.6,22.8,0.02598,0.00064,0.00026,0.00039
22.8,41.9,0.005983,0.000149,6e-05,8.9e-05
1.0,1.71,15.47,0.29,0.31,0.45
1.71,2.97,8.633,0.068,0.129,0.183
2.97,4.02,4.067,0.039,0.041,0.067
4.02,5.9,1.867,0.016,0.019,0.028
5.9,7.09,0.8415,0.011,0.0084,0.0125
7.09,8.48,0.4993,0.0074,0.005,0.0074
8.48,11.0,0.2541,0.0038,0.0025,0.0038
11.0,16.6,0.08901,0.0014,0.00089,0.00132
16.6,22.8,0.02559,0.00062,0.00026,0.00038
22.8,41.9,0.005822,0.000142,5.8e-05,8.7e-05
1.0,1.71,15.43,0.29,0.31,0.45
1.71,2.97,8.715,0.067,0.131,0.185
2.97,4.02,4.137,0.041,0.041,0.068
4.02,5.9,1.884,0.017,0.019,0.028
5.9,7.09,0.8834,0.0123,0.0088,0.0131
7.09,8.48,0.494,0.008,0.0049,0.0073
8.48,11.0,0.2573,0.0041,0.0026,0.0038
11.0,16.6,0.08638,0.00152,0.00086,0.00128
16.6,22.8,0.02525,0.00067,0.00025,0.00038
22.8,41.9,0.006019,0.000158,6e-05,8.9e-05
1.0,1.71,15.92,0.27,0.32,0.46
1.71,2.97,8.795,0.067,0.132,0.187
2.97,4.02,4.123,0.039,0.041,0.068
4.02,5.9,1.861,0.016,0.019,0.028
5.9,7.09,0.8574,0.0112,0.0086,0.0127
7.09,8.48,0.4997,0.0075,0.005,0.0074
8.48,11.0,0.2538,0.0038,0.0025,0.0038
11.0,16.6,0.08719,0.00141,0.00087,0.0013
16.6,22.8,0.02694,0.00064,0.00027,0.0004
22.8,41.9,0.006039,0.000146,6e-05,9e-05
1.0,1.71,15.65,0.32,0.31,0.45
1.71,2.97,8.648,0.067,0.13,0.183
2.97,4.02,4.117,0.039,0.041,0.068
4.02,5.9,1.842,0.016,0.018,0.027
5.9,7.09,0.87,0.0112,0.0087,0.0129
7.09,8.48,0.4949,0.0073,0.0049,0.0074
8.48,11.0,0.2596,0.0038,0.0026,0.0039
11.0,16.6,0.08657,0.00139,0.00087,0.00129
16.6,22.8,0.02514,0.00061,0.00025,0.00037
22.8,41.9,0.006029,0.000145,6e-05,9e-05
1.0,1.71,15.99,0.34,0.32,0.46
1.71,2.97,8.902,0.067,0.134,0.189
2.97,4.02,4.244,0.04,0.042,0.07
4.02,5.9,1.867,0.016,0.019,0.028
5.9,7.09,0.8627,0.0113,0.0086,0.0128
7.09,8.48,0.5056,0.0075,0.0051,0.0075
8.48,11.0,0.2578,0.0038,0.0026,0.0038
11.0,16.6,0.08555,0.0014,0.00086,0.00127
16.6,22.8,0.02718,0.00065,0.00027,0.0004
22.8,41.9,0.005963,0.000145,6e-05,8.9e-05
1.0,1.71,15.99,0.41,0.32,0.46
1.71,2.97,9.011,0.069,0.135,0.191
2.97,4.02,4.324,0.041,0.043,0.071
4.02,5.9,1.911,0.016,0.019,0.028
5.9,7.09,0.8699,0.0112,0.0087,0.0129
7.09,8.48,0.5141,0.0075,0.0051,0.0076
8.48,11.0,0.2525,0.0037,0.0025,0.0038
11.0,16.6,0.08631,0.00138,0.00086,0.00128
16.6,22.8,0.02602,0.00062,0.00026,0.00039
22.8,41.9,0.006177,0.000145,6.2e-05,9.2e-05
1.0,1.71,16.84,0.36,0.34,0.49
1.71,2.97,9.133,0.068,0.137,0.194
2.97,4.02,4.42,0.041,0.044,0.073
4.02,5.9,1.977,0.016,0.02,0.029
5.9,7.09,0.9041,0.0114,0.009,0.0135
7.09,8.48,0.5086,0.0074,0.0051,0.0076
8.48,11.0,0.2559,0.0038,0.0026,0.0038
11.0,16.6,0.08986,0.00141,0.0009,0.00134
16.6,22.8,0.02588,0.00062,0.00026,0.00038
22.8,41.9,0.006157,0.000146,6.2e-05,9.2e-05
1.0,1.71,16.96,0.35,0.34,0.49
1.71,2.97,9.166,0.069,0.137,0.194
2.97,4.02,4.413,0.041,0.044,0.072
4.02,5.9,1.956,0.016,0.02,0.029
5.9,7.09,0.8813,0.0113,0.0088,0.0131
7.09,8.48,0.5237,0.0075,0.0052,0.0078
8.48,11.0,0.2643,0.0038,0.0026,0.0039
11.0,16.6,0.08752,0.0014,0.00088,0.0013
16.6,22.8,0.02701,0.00063,0.00027,0.0004
22.8,41.9,0.006228,0.000146,6.2e-05,9.3e-05
1.0,1.71,16.74,0.4,0.33,0.49
1.71,2.97,9.287,0.069,0.139,0.197
2.97,4.02,4.405,0.041,0.044,0.072
4.02,5.9,1.967,0.016,0.02,0.029
5.9,7.09,0.8847,0.0113,0.0088,0.0132
7.09,8.48,0.5123,0.0074,0.0051,0.0076
8.48,11.0,0.2697,0.0039,0.0027,0.004
11.0,16.6,0.08623,0.00138,0.00086,0.00128
16.6,22.8,0.02666,0.00063,0.00027,0.0004
22.8,41.9,0.005731,0.00014,5.7e-05,8.5e-05
1.0,1.71,16.41,0.45,0.33,0.48
1.71,2.97,9.514,0.07,0.143,0.202
2.97,4.02,4.406,0.041,0.044,0.072
4.02,5.9,1.977,0.016,0.02,0.029
5.9,7.09,0.9091,0.0115,0.0091,0.0135
7.09,8.48,0.5244,0.0076,0.0052,0.0078
8.48,11.0,0.2635,0.0038,0.0026,0.0039
11.0,16.6,0.0872,0.0014,0.00087,0.0013
16.6,22.8,0.02655,0.00063,0.00027,0.00039
22.8,41.9,0.006369,0.000148,6.4e-05,9.5e-05
1.0,1.71,16.97,0.31,0.34,0.49
1.71,2.97,9.316,0.069,0.14,0.198
2.97,4.02,4.526,0.041,0.045,0.074
4.02,5.9,2.011,0.017,0.02,0.03
5.9,7.09,0.9091,0.0115,0.0091,0.0135
7.09,8.48,0.5311,0.0076,0.0053,0.0079
8.48,11.0,0.2656,0.0038,0.0027,0.0039
11.0,16.6,0.0908,0.00142,0.00091,0.00135
16.6,22.8,0.02521,0.00062,0.00025,0.00037
22.8,41.9,0.006231,0.000147,6.2e-05,9.3e-05
1.0,1.71,16.64,0.53,0.33,0.48
1.71,2.97,9.361,0.117,0.14,0.199
2.97,4.02,4.351,0.063,0.044,0.072
4.02,5.9,1.988,0.026,0.02,0.03
5.9,7.09,0.896,0.0184,0.009,0.0133
7.09,8.48,0.5301,0.0124,0.0053,0.0079
8.48,11.0,0.2601,0.0062,0.0026,0.0039
11.0,16.6,0.08424,0.00227,0.00084,0.00125
16.6,22.8,0.02759,0.00107,0.00028,0.00041
22.8,41.9,0.005865,0.00024,5.9e-05,8.7e-05
1.0,1.71,16.47,0.44,0.33,0.48
1.71,2.97,9.116,0.085,0.137,0.193
2.97,4.02,4.207,0.051,0.042,0.069
4.02,5.9,1.933,0.021,0.019,0.029
5.9,7.09,0.8867,0.0146,0.0089,0.0132
7.09,8.48,0.5314,0.0098,0.0053,0.0079
8.48,11.0,0.2561,0.0049,0.0026,0.0038
11.0,16.6,0.09003,0.00184,0.0009,0.00134
16.6,22.8,0.02662,0.00083,0.00027,0.0004
22.8,41.9,0.005672,0.00018,5.7e-05,8.4e-05
1.0,1.71,16.05,0.34,0.32,0.47
1.71,2.97,9.156,0.069,0.137,0.194
2.97,4.02,4.313,0.041,0.043,0.071
4.02,5.9,1.911,0.016,0.019,0.028
5.9,7.09,0.8709,0.0111,0.0087,0.0129
7.09,8.48,0.4908,0.0073,0.0049,0.0073
8.48,11.0,0.2548,0.0037,0.0025,0.0038
11.0,16.6,0.08684,0.00138,0.00087,0.00129
16.6,22.8,0.02569,0.00062,0.00026,0.00038
22.8,41.9,0.006082,0.000145,6.1e-05,9e-05
1.0,1.71,16.59,0.31,0.33,0.48
1.71,2.97,9.141,0.069,0.137,0.194
2.97,4.02,4.276,0.04,0.043,0.07
4.02,5.9,1.891,0.016,0.019,0.028
5.9,7.09,0.8493,0.0111,0.0085,0.0126
7.09,8.48,0.5013,0.0074,0.005,0.0075
8.48,11.0,0.2658,0.0038,0.0027,0.004
11.0,16.6,0.08613,0.00138,0.00086,0.00128
16.6,22.8,0.02605,0.00063,0.00026,0.00039
22.8,41.9,0.005924,0.000143,5.9e-05,8.8e-05
1.0,1.71,15.16,0.38,0.3,0.44
1.71,2.97,9.001,0.068,0.135,0.191
2.97,4.02,4.274,0.04,0.043,0.07
4.02,5.9,1.877,0.016,0.019,0.028
5.9,7.09,0.8806,0.0112,0.0088,0.0131
7.09,8.48,0.4939,0.0073,0.0049,0.0073
8.48,11.0,0.2546,0.0037,0.0025,0.0038
11.0,16.6,0.08293,0.00135,0.00083,0.00123
16.6,22.8,0.02538,0.00061,0.00025,0.00038
22.8,41.9,0.006162,0.000146,6.2e-05,9.2e-05
1.0,1.71,16.26,0.34,0.33,0.47
1.71,2.97,9.057,0.068,0.136,0.192
2.97,4.02,4.306,0.04,0.043,0.071
4.02,5.9,1.9,0.016,0.019,0.028
5.9,7.09,0.8429,0.011,0.0084,0.0125
7.09,8.48,0.5068,0.0074,0.0051,0.0075
8.48,11.0,0.2608,0.0038,0.0026,0.0039
11.0,16.6,0.08791,0.0014,0.00088,0.00131
16.6,22.8,0.02673,0.00063,0.00027,0.0004
22.8,41.9,0.005803,0.000141,5.8e-05,8.6e-05
1.0,1.71,16.38,0.36,0.33,0.47
1.71,2.97,9.071,0.068,0.136,0.192
2.97,4.02,4.231,0.04,0.042,0.07
4.02,5.9,1.881,0.016,0.019,0.028
5.9,7.09,0.863,0.0111,0.0086,0.0128
7.09,8.48,0.4904,0.0072,0.0049,0.0073
8.48,11.0,0.2657,0.0038,0.0027,0.004
11.0,16.6,0.08677,0.00138,0.00087,0.00129
16.6,22.8,0.02636,0.00063,0.00026,0.00039
22.8,41.9,0.006093,0.000145,6.1e-05,9.1e-05
1.0,1.71,15.72,0.41,0.31,0.46
1.71,2.97,8.816,0.068,0.132,0.187
2.97,4.02,4.178,0.04,0.042,0.069
4.02,5.9,1.853,0.016,0.019,0.028
5.9,7.09,0.8721,0.0112,0.0087,0.013
7.09,8.48,0.4984,0.0073,0.005,0.0074
8.48,11.0,0.2545,0.0037,0.0025,0.0038
11.0,16.6,0.08456,0.00137,0.00085,0.00126
16.6,22.8,0.02701,0.00063,0.00027,0.0004
22.8,41.9,0.006034,0.000144,6e-05,9e-05
1.0,1.71,15.31,0.34,0.31,0.44
1.71,2.97,8.394,0.067,0.126,0.178
2.97,4.02,4.069,0.039,0.041,0.067
4.02,5.9,1.814,0.016,0.018,0.027
5.9,7.09,0.8308,0.011,0.0083,0.0124
7.09,8.48,0.4922,0.0073,0.0049,0.0073
8.48,11.0,0.2442,0.0037,0.0024,0.0036
11.0,16.6,0.08631,0.00139,0.00086,0.00128
16.6,22.8,0.02877,0.00066,0.00029,0.00043
22.8,41.9,0.005963,0.000144,6e-05,8.9e-05
1.0,1.71,15.62,0.39,0.31,0.45
1.71,2.97,8.352,0.068,0.125,0.177
2.97,4.02,4.042,0.04,0.04,0.066
4.02,5.9,1.787,0.016,0.018,0.027
5.9,7.09,0.8185,0.011,0.0082,0.0122
7.09,8.48,0.4894,0.0074,0.0049,0.0073
8.48,11.0,0.2478,0.0037,0.0025,0.0037
11.0,16.6,0.08545,0.00139,0.00085,0.00127
16.6,22.8,0.02734,0.00065,0.00027,0.00041
22.8,41.9,0.005886,0.000143,5.9e-05,8.7e-05
1.0,1.71,15.79,0.38,0.32,0.46
1.71,2.97,8.473,0.067,0.127,0.18
2.97,4.02,4.038,0.039,0.04,0.066
4.02,5.9,1.805,0.016,0.018,0.027
5.9,7.09,0.8264,0.011,0.0083,0.0123
7.09,8.48,0.4738,0.0072,0.0047,0.007
8.48,11.0,0.2509,0.0037,0.0025,0.0037
11.0,16.6,0.08558,0.00139,0.00086,0.00127
16.6,22.8,0.02616,0.00063,0.00026,0.00039
22.8,41.9,0.006101,0.000147,6.1e-05,9.1e-05
1.0,1.71,14.89,0.39,0.3,0.43
1.71,2.97,8.332,0.067,0.125,0.177
2.97,4.02,4.033,0.039,0.04,0.066
4.02,5.9,1.809,0.016,0.018,0.027
5.9,7.09,0.8252,0.0109,0.0083,0.0123
7.09,8.48,0.4836,0.0072,0.0048,0.0072
8.48,11.0,0.2504,0.0037,0.0025,0.0037
11.0,16.6,0.08688,0.00138,0.00087,0.00129
16.6,22.8,0.02671,0.00063,0.00027,0.0004
22.8,41.9,0.005858,0.000142,5.9e-05,8.7e-05
1.0,1.71,15.64,0.32,0.31,0.45
1.71,2.97,8.512,0.067,0.128,0.181
2.97,4.02,4.028,0.039,0.04,0.066
4.02,5.9,1.822,0.016,0.018,0.027
5.9,7.09,0.8255,0.0109,0.0083,0.0123
7.09,8.48,0.4781,0.0072,0.0048,0.0071
8.48,11.0,0.2504,0.0037,0.0025,0.0037
11.0,16.6,0.08622,0.00139,0.00086,0.00128
16.6,22.8,0.02647,0.00063,0.00026,0.00039
22.8,41.9,0.006183,0.000147,6.2e-05,9.2e-05
1.0,1.71,16.18,0.31,0.32,0.47
1.71,2.97,8.726,0.069,0.131,0.185
2.97,4.02,4.126,0.04,0.041,0.068
4.02,5.9,1.804,0.016,0.018,0.027
5.9,7.09,0.8452,0.011,0.0085,0.0126
7.09,8.48,0.4936,0.0073,0.0049,0.0073
8.48,11.0,0.2498,0.0037,0.0025,0.0037
11.0,16.6,0.08623,0.00138,0.00086,0.00128
16.6,22.8,0.02686,0.00063,0.00027,0.0004
22.8,41.9,0.006052,0.000144,6.1e-05,9e-05
1.0,1.71,15.83,0.36,0.32,0.46
1.71,2.97,8.609,0.068,0.129,0.183
2.97,4.02,4.089,0.039,0.041,0.067
4.02,5.9,1.817,0.016,0.018,0.027
5.9,7.09,0.8464,0.0111,0.0085,0.0126
7.09,8.48,0.4813,0.0072,0.0048,0.0072
8.48,11.0,0.2554,0.0038,0.0026,0.0038
11.0,16.6,0.08505,0.00138,0.00085,0.00126
16.6,22.8,0.02704,0.00064,0.00027,0.0004
22.8,41.9,0.006232,0.000147,6.2e-05,9.3e-05
1.0,1.71,16.25,0.35,0.33,0.47
1.71,2.97,8.695,0.068,0.13,0.184
2.97,4.02,4.09,0.04,0.041,0.067
4.02,5.9,1.834,0.016,0.018,0.027
5.9,7.09,0.8456,0.0111,0.0085,0.0126
7.09,8.48,0.4912,0.0073,0.0049,0.0073
8.48,11.0,0.253,0.0037,0.0025,0.0038
11.0,16.6,0.08645,0.00139,0.00086,0.00129
16.6,22.8,0.02597,0.00062,0.00026,0.00039
22.8,41.9,0.005806,0.000141,5.8e-05,8.6e-05
1.0,1.71,15.93,0.3,0.32,0.46
1.71,2.97,8.747,0.068,0.131,0.186
2.97,4.02,4.043,0.039,0.04,0.066
4.02,5.9,1.839,0.016,0.018,0.027
5.9,7.09,0.8351,0.011,0.0084,0.0124
7.09,8.48,0.494,0.0073,0.0049,0.0073
8.48,11.0,0.2499,0.0037,0.0025,0.0037
11.0,16.6,0.08674,0.00139,0.00087,0.00129
16.6,22.8,0.02652,0.00063,0.00027,0.00039
22.8,41.9,0.005779,0.000141,5.8e-05,8.6e-05
1.0,1.71,15.79,0.32,0.32,0.46
1.71,2.97,8.846,0.069,0.133,0.188
2.97,4.02,4.134,0.04,0.041,0.068
4.02,5.9,1.824,0.016,0.018,0.027
5.9,7.09,0.8296,0.011,0.0083,0.0123
7.09,8.48,0.5073,0.0074,0.0051,0.0075
8.48,11.0,0.2516,0.0037,0.0025,0.0037
11.0,16.6,0.08639,0.00138,0.00086,0.00128
16.6,22.8,0.02585,0.00062,0.00026,0.00038
22.8,41.9,0.005884,0.000142,5.9e-05,8.7e-05
1.0,1.71,15.71,0.34,0.31,0.46
1.71,2.97,8.645,0.069,0.13,0.183
2.97,4.02,4.122,0.041,0.041,0.068
4.02,5.9,1.835,0.016,0.018,0.027
5.9,7.09,0.8562,0.0113,0.0086,0.0127
7.09,8.48,0.5071,0.0075,0.0051,0.0075
8.48,11.0,0.2499,0.0038,0.0025,0.0037
11.0,16.6,0.08637,0.00141,0.00086,0.00128
16.6,22.8,0.02605,0.00064,0.00026,0.00039
22.8,41.9,0.006177,0.000148,6.2e-05,9.2e-05
1.0,1.71,15.64,0.31,0.31,0.45
1.71,2.97,8.688,0.068,0.13,0.184
2.97,4.02,4.061,0.04,0.041,0.067
4.02,5.9,1.844,0.016,0.018,0.027
5.9,7.09,0.8581,0.0111,0.0086,0.0128
7.09,8.48,0.4948,0.0073,0.0049,0.0074
8.48,11.0,0.2514,0.0037,0.0025,0.0037
11.0,16.6,0.08755,0.0014,0.00088,0.0013
16.6,22.8,0.0271,0.00064,0.00027,0.0004
22.8,41.9,0.005658,0.00014,5.7e-05,8.4e-05
1.0,1.71,16.22,0.31,0.32,0.47
1.71,2.97,8.652,0.068,0.13,0.184
2.97,4.02,4.114,0.04,0.041,0.067
4.02,5.9,1.842,0.016,0.018,0.027
5.9,7.09,0.8293,0.0109,0.0083,0.0123
7.09,8.48,0.5014,0.0073,0.005,0.0075
8.48,11.0,0.2516,0.0037,0.0025,0.0037
11.0,16.6,0.08755,0.00138,0.00088,0.0013
16.6,22.8,0.02611,0.00062,0.00026,0.00039
22.8,41.9,0.005749,0.000141,5.7e-05,8.5e-05
1.0,1.71,14.75,0.49,0.29,0.43
1.71,2.97,8.673,0.237,0.13,0.184
2.97,4.02,4.013,0.187,0.04,0.066
4.02,5.9,1.738,0.039,0.017,0.026
5.9,7.09,0.8604,0.0241,0.0086,0.0128
7.09,8.48,0.4852,0.0149,0.0049,0.0072
8.48,11.0,0.2453,0.0074,0.0025,0.0036
11.0,16.6,0.0868,0.00269,0.00087,0.00129
16.6,22.8,0.02742,0.00119,0.00027,0.00041
22.8,41.9,0.005963,0.000265,6e-05,8.9e-05
1.0,1.71,15.06,0.35,0.3,0.44
1.71,2.97,8.336,0.074,0.125,0.177
2.97,4.02,3.982,0.046,0.04,0.065
4.02,5.9,1.822,0.02,0.018,0.027
5.9,7.09,0.8195,0.0148,0.0082,0.0122
7.09,8.48,0.472,0.0099,0.0047,0.007
8.48,11.0,0.2484,0.0052,0.0025,0.0037
11.0,16.6,0.08695,0.00199,0.00087,0.00129
16.6,22.8,0.02508,0.0009,0.00025,0.00037
22.8,41.9,0.005702,0.000206,5.7e-05,8.5e-05
1.0,1.71,14.98,0.3,0.3,0.43
1.71,2.97,8.319,0.067,0.125,0.176
2.97,4.02,4.051,0.04,0.041,0.067
4.02,5.9,1.788,0.016,0.018,0.027
5.9,7.09,0.8181,0.011,0.0082,0.0122
7.09,8.48,0.4926,0.0074,0.0049,0.0073
8.48,11.0,0.2533,0.0038,0.0025,0.0038
11.0,16.6,0.08507,0.00139,0.00085,0.00126
16.6,22.8,0.0276,0.00065,0.00028,0.00041
22.8,41.9,0.005482,0.00014,5.5e-05,8.1e-05
1.0,1.71,14.18,0.36,0.28,0.41
1.71,2.97,7.658,0.065,0.115,0.162
2.97,4.02,3.627,0.038,0.036,0.059
4.02,5.9,1.73,0.015,0.017,0.026
