date YYYY-MM-DD,rigidity_min GV,rigidity_max GV,positron_flux m^-2sr^-1s^-1GV^-1,positron_flux_error_statistical m^-2sr^-1s^-1GV^-1,positron_flux_error_timedependent m^-2sr^-1s^-1GV^-1
5.9,7.09,0.03729,0.005092,0.0003729,0.0005593355
7.09,8.48,0.02527,0.003685,0.0002527,0.0003790643
8.48,11.0,0.01533,0.002052,0.0001533,0.0002298991
11.0,16.6,0.005724,0.0007872,5.724e-05,8.586064e-05
16.6,22.8,0.001027,0.0002694,1.027e-05,1.540422e-05
22.8,41.9,0.0005041,9.565e-05,5.041e-06,7.561435e-06
1.0,1.33,1.298,0.2023,0.01947,0.03764233
1.33,1.71,1.135,0.1344,0.01475,0.03063921
1.71,2.15,0.9265,0.0907,0.01019,0.02223662
2.15,2.97,0.5002,0.04014,0.005002,0.01000482
2.97,4.02,0.2351,0.01942,0.002351,0.003526435
4.02,5.9,0.09706,0.007745,0.0009706,0.001455854
5.9,7.09,0.04272,0.005413,0.0004272,0.0006408441
7.09,8.48,0.03012,0.004033,0.0003012,0.000451784
8.48,11.0,0.01461,0.002,0.0001461,0.0002191005
11.0,16.6,0.006017,0.0007849,6.017e-05,9.026164e-05
16.6,22.8,0.001032,0.0002607,1.032e-05,1.5485e-05
22.8,41.9,0.0005196,9.726e-05,5.196e-06,7.794015e-06
1.0,1.33,1.275,0.218,0.01912,0.03697182
1.33,1.71,1.341,0.1567,0.01743,0.0362016
1.71,2.15,0.9263,0.09951,0.01019,0.02223123
2.15,2.97,0.4595,0.0416,0.004595,0.009189028
2.97,4.02,0.2327,0.0213,0.002327,0.00349015
4.02,5.9,0.1044,0.008704,0.001044,0.001565309
5.9,7.09,0.02917,0.004817,0.0002917,0.000437597
7.09,8.48,0.02362,0.003847,0.0002362,0.0003542601
8.48,11.0,0.01807,0.002383,0.0001807,0.0002709809
11.0,16.6,0.006067,0.0008454,6.067e-05,9.100461e-05
16.6,22.8,0.001147,0.000289,1.147e-05,1.720766e-05
22.8,41.9,0.0003488,8.29e-05,3.488e-06,5.231434e-06
1.0,1.33,1.681,0.2599,0.02521,0.0487384
1.33,1.71,1.189,0.1483,0.01546,0.0321025
1.71,2.15,0.9127,0.096,0.01004,0.02190535
2.15,2.97,0.481,0.04121,0.00481,0.009619184
2.97,4.02,0.2559,0.02115,0.002559,0.003837816
4.02,5.9,0.1062,0.008399,0.001062,0.001593646
5.9,7.09,0.03703,0.005199,0.0003703,0.0005554217
7.09,8.48,0.01687,0.003113,0.0001687,0.0002530412
8.48,11.0,0.009872,0.001731,9.872e-05,0.0001480871
11.0,16.6,0.004406,0.000702,4.406e-05,6.608855e-05
16.6,22.8,0.001785,0.0003545,1.785e-05,2.677668e-05
22.8,41.9,0.0003881,8.979e-05,3.881e-06,5.822086e-06
1.0,1.33,1.992,0.3302,0.02989,0.05777963
1.33,1.71,1.162,0.2015,0.01511,0.03137407
1.71,2.15,0.7189,0.1201,0.007908,0.0172541
2.15,2.97,0.4664,0.0533,0.004664,0.009328101
2.97,4.02,0.2358,0.02495,0.002358,0.003536816
4.02,5.9,0.09575,0.008974,0.0009575,0.001436209
5.9,7.09,0.04849,0.006403,0.0004849,0.0007272804
7.09,8.48,0.02659,0.00417,0.0002659,0.000398903
8.48,11.0,0.01376,0.002133,0.0001376,0.0002064635
11.0,16.6,0.006418,0.0009046,6.418e-05,9.626959e-05
16.6,22.8,0.002378,0.0004253,2.378e-05,3.567447e-05
22.8,41.9,0.0004682,9.902e-05,4.682e-06,7.023485e-06
1.0,1.33,2.325,0.3646,0.03488,0.06743042
1.33,1.71,1.286,0.2097,0.01672,0.03472853
1.71,2.15,0.7641,0.1266,0.008405,0.01833863
2.15,2.97,0.4746,0.05474,0.004746,0.009491503
2.97,4.02,0.2533,0.0266,0.002533,0.003799404
4.02,5.9,0.09565,0.009,0.0009565,0.001434757
5.9,7.09,0.04269,0.005937,0.0004269,0.0006404148
7.09,8.48,0.02352,0.00384,0.0002352,0.0003527939
8.48,11.0,0.01128,0.0019,0.0001128,0.000169227
11.0,16.6,0.005756,0.0008283,5.756e-05,8.633407e-05
16.6,22.8,0.001221,0.0002971,1.221e-05,1.832107e-05
22.8,41.9,0.0003386,8.124e-05,3.386e-06,5.079395e-06
1.0,1.33,1.776,0.3175,0.02664,0.05151313
1.33,1.71,1.47,0.224,0.01911,0.03970017
1.71,2.15,0.6868,0.1163,0.007555,0.0164832
2.15,2.97,0.5129,0.05701,0.005129,0.01025833
2.97,4.02,0.2807,0.02847,0.002807,0.00421014
4.02,5.9,0.1007,0.009347,0.001007,0.001510499
5.9,7.09,0.04043,0.005871,0.0004043,0.0006063782
7.09,8.48,0.01857,0.003518,0.0001857,0.0002784867
8.48,11.0,0.0142,0.002163,0.000142,0.0002129262
11.0,16.6,0.004661,0.0007591,4.661e-05,6.991363e-05
16.6,22.8,0.001789,0.0003615,1.789e-05,2.684206e-05
22.8,41.9,0.0003333,8.137e-05,3.333e-06,5.000081e-06
1.0,1.33,1.286,0.2731,0.01929,0.03729776
1.33,1.71,0.9477,0.1872,0.01232,0.02558821
1.71,2.15,0.8347,0.126,0.009182,0.02003251
2.15,2.97,0.4691,0.05476,0.004691,0.009381674
2.97,4.02,0.2739,0.02683,0.002739,0.004108629
4.02,5.9,0.1074,0.009648,0.001074,0.001611659
5.9,7.09,0.05551,0.006909,0.0005551,0.0008325943
7.09,8.48,0.02476,0.004083,0.0002476,0.0003713836
8.48,11.0,0.01038,0.001872,0.0001038,0.00015576
11.0,16.6,0.004948,0.000784,4.948e-05,7.421724e-05
16.6,22.8,0.001563,0.0003479,1.563e-05,2.344436e-05
22.8,41.9,0.0003708,9.87e-05,3.708e-06,5.562177e-06
1.0,1.33,1.543,0.3016,0.02314,0.04474326
1.33,1.71,0.7519,0.1696,0.009775,0.02030209
1.71,2.15,0.6091,0.1126,0.0067,0.01461918
2.15,2.97,0.4413,0.05473,0.004413,0.008825485
2.97,4.02,0.1949,0.02357,0.001949,0.002923886
4.02,5.9,0.08502,0.008616,0.0008502,0.001275337
5.9,7.09,0.0317,0.005279,0.000317,0.0004754805
7.09,8.48,0.01733,0.003419,0.0001733,0.0002599919
8.48,11.0,0.01231,0.002025,0.0001231,0.0001845978
11.0,16.6,0.004207,0.0007195,4.207e-05,6.310929e-05
16.6,22.8,0.002156,0.0003915,2.156e-05,3.234333e-05
22.8,41.9,0.0002972,8.239e-05,2.972e-06,4.458186e-06
1.0,1.33,1.421,0.2884,0.02131,0.04120275
1.33,1.71,0.9283,0.1848,0.01207,0.02506481
1.71,2.15,0.5643,0.1137,0.006207,0.01354258
2.15,2.97,0.3623,0.04922,0.003623,0.007245184
2.97,4.02,0.2102,0.02387,0.002102,0.0031526
4.02,5.9,0.07225,0.007579,0.0007225,0.001083772
5.9,7.09,0.02749,0.004866,0.0002749,0.0004123969
7.09,8.48,0.02177,0.003698,0.0002177,0.0003265231
8.48,11.0,0.0111,0.001868,0.000111,0.0001665107
11.0,16.6,0.005528,0.0008036,5.528e-05,8.291891e-05
16.6,22.8,0.001343,0.0003105,1.343e-05,2.013785e-05
22.8,41.9,0.0003866,8.674e-05,3.866e-06,5.798918e-06
1.0,1.33,1.612,0.3104,0.02418,0.04673912
1.33,1.71,1.103,0.2057,0.01434,0.02978426
1.71,2.15,0.8689,0.1317,0.009558,0.02085317
2.15,2.97,0.3446,0.04841,0.003446,0.006891135
2.97,4.02,0.1834,0.02389,0.001834,0.002751164
4.02,5.9,0.1033,0.01031,0.001033,0.001549908
5.9,7.09,0.0553,0.007495,0.000553,0.0008295064
7.09,8.48,0.02413,0.004324,0.0002413,0.0003620066
8.48,11.0,0.01713,0.002588,0.0001713,0.0002570185
11.0,16.6,0.005585,0.0008776,5.585e-05,8.377683e-05
16.6,22.8,0.00108,0.000323,1.08e-05,1.619802e-05
22.8,41.9,0.0002949,8.324e-05,2.949e-06,4.423849e-06
1.0,1.33,1.27,0.3098,0.01906,0.03684041
1.33,1.71,0.9081,0.2198,0.01181,0.02451835
1.71,2.15,0.6291,0.1336,0.00692,0.01509892
2.15,2.97,0.4889,0.06203,0.004889,0.009777459
2.97,4.02,0.2155,0.02593,0.002155,0.003233052
4.02,5.9,0.09201,0.009106,0.0009201,0.00138022
5.9,7.09,0.04346,0.006155,0.0004346,0.000651907
7.09,8.48,0.02558,0.00411,0.0002558,0.0003837585
8.48,11.0,0.01182,0.002025,0.0001182,0.0001772439
11.0,16.6,0.004529,0.0007504,4.529e-05,6.793866e-05
16.6,22.8,0.001391,0.0003257,1.391e-05,2.086526e-05
22.8,41.9,0.0004034,9.129e-05,4.034e-06,6.051266e-06
1.0,1.33,1.887,0.3404,0.02831,0.05472565
1.33,1.71,0.9096,0.1896,0.01182,0.02455906
1.71,2.15,0.8613,0.1369,0.009474,0.02067056
2.15,2.97,0.4602,0.05572,0.004602,0.009203784
2.97,4.02,0.2291,0.02556,0.002291,0.003436028
4.02,5.9,0.1052,0.009518,0.001052,0.001577658
5.9,7.09,0.0489,0.006425,0.000489,0.000733494
7.09,8.48,0.02556,0.004011,0.0002556,0.0003834045
8.48,11.0,0.01353,0.002077,0.0001353,0.0002029811
11.0,16.6,0.005385,0.000824,5.385e-05,8.077574e-05
16.6,22.8,0.001316,0.0003135,1.316e-05,1.97338e-05
22.8,41.9,0.0004402,9.227e-05,4.402e-06,6.602705e-06
1.0,1.33,1.176,0.2816,0.01764,0.03410591
1.33,1.71,0.7867,0.1753,0.01023,0.02124221
1.71,2.15,0.5326,0.1015,0.005858,0.01278137
2.15,2.97,0.4873,0.05581,0.004873,0.009745505
2.97,4.02,0.1998,0.0244,0.001998,0.002997034
4.02,5.9,0.07546,0.008314,0.0007546,0.001131842
5.9,7.09,0.04714,0.006567,0.0004714,0.0007070618
7.09,8.48,0.02148,0.003893,0.0002148,0.0003221325
8.48,11.0,0.01278,0.002112,0.0001278,0.0001917385
11.0,16.6,0.004724,0.0007797,4.724e-05,7.085508e-05
16.6,22.8,0.001977,0.0004029,1.977e-05,2.96549e-05
22.8,41.9,0.0004922,0.0001036,4.922e-06,7.382742e-06
1.0,1.33,1.415,0.2957,0.02123,0.04104694
1.33,1.71,1.485,0.2376,0.0193,0.04009271
1.71,2.15,0.7673,0.1271,0.00844,0.0184152
2.15,2.97,0.4031,0.05369,0.004031,0.008062875
2.97,4.02,0.2272,0.02573,0.002272,0.003407817
4.02,5.9,0.08279,0.008676,0.0008279,0.001241844
5.9,7.09,0.04596,0.006429,0.0004596,0.0006894548
7.09,8.48,0.03996,0.005063,0.0003996,0.0005994691
8.48,11.0,0.01222,0.002019,0.0001222,0.0001832732
11.0,16.6,0.005574,0.0008272,5.574e-05,8.361117e-05
16.6,22.8,0.001647,0.0003573,1.647e-05,2.470717e-05
22.8,41.9,0.0004151,9.312e-05,4.151e-06,6.225943e-06
1.0,1.33,1.711,0.306,0.02566,0.04961146
1.33,1.71,1.136,0.1978,0.01476,0.03066116
1.71,2.15,0.6792,0.1183,0.007471,0.01630127
2.15,2.97,0.4313,0.05214,0.004313,0.008626601
2.97,4.02,0.1722,0.02133,0.001722,0.002582715
4.02,5.9,0.1022,0.009094,0.001022,0.001533416
5.9,7.09,0.03882,0.005748,0.0003882,0.0005823316
7.09,8.48,0.02128,0.003738,0.0002128,0.0003192047
8.48,11.0,0.01411,0.002147,0.0001411,0.0002116163
11.0,16.6,0.007244,0.0009502,7.244e-05,0.0001086621
16.6,22.8,0.001148,0.000305,1.148e-05,1.721687e-05
22.8,41.9,0.0004816,9.928e-05,4.816e-06,7.224096e-06
1.0,1.33,1.984,0.2852,0.02976,0.05753403
1.33,1.71,0.8887,0.1461,0.01155,0.02399536
1.71,2.15,0.9104,0.1066,0.01001,0.0218498
2.15,2.97,0.3554,0.03763,0.003554,0.0071088
2.97,4.02,0.177,0.01868,0.00177,0.002655076
4.02,5.9,0.08123,0.007735,0.0008123,0.001218461
5.9,7.09,0.0328,0.005115,0.000328,0.0004920433
7.09,8.48,0.02632,0.003971,0.0002632,0.0003948088
8.48,11.0,0.01104,0.001842,0.0001104,0.0001656424
11.0,16.6,0.004479,0.0007372,4.479e-05,6.718458e-05
16.6,22.8,0.001606,0.0003478,1.606e-05,2.409623e-05
22.8,41.9,0.0005283,0.0001092,5.283e-06,7.924638e-06
1.0,1.33,1.765,0.2368,0.02648,0.05119787
1.33,1.71,1.371,0.1509,0.01782,0.0370036
1.71,2.15,0.7485,0.08592,0.008234,0.01796499
2.15,2.97,0.4504,0.04059,0.004504,0.009007929
2.97,4.02,0.1985,0.0201,0.001985,0.002977417
4.02,5.9,0.09576,0.008881,0.0009576,0.00143641
5.9,7.09,0.04373,0.006579,0.0004373,0.0006559412
7.09,8.48,0.01905,0.003896,0.0001905,0.000285759
8.48,11.0,0.01224,0.002172,0.0001224,0.0001836694
11.0,16.6,0.003775,0.000753,3.775e-05,5.661911e-05
16.6,22.8,0.001156,0.0003298,1.156e-05,1.733706e-05
22.8,41.9,0.0005152,0.0001153,5.152e-06,7.728295e-06
1.0,1.33,1.325,0.2133,0.01987,0.03842012
1.33,1.71,1.147,0.1394,0.01491,0.03096224
1.71,2.15,0.6857,0.08528,0.007543,0.01645751
2.15,2.97,0.4955,0.04302,0.004955,0.009910899
2.97,4.02,0.2379,0.02196,0.002379,0.003568826
4.02,5.9,0.0961,0.008634,0.000961,0.0014415
5.9,7.09,0.04382,0.006161,0.0004382,0.0006572387
7.09,8.48,0.02456,0.004098,0.0002456,0.0003683459
8.48,11.0,0.007294,0.001606,7.294e-05,0.0001094142
11.0,16.6,0.004715,0.0007865,4.715e-05,7.072446e-05
16.6,22.8,0.001804,0.0003892,1.804e-05,2.705757e-05
22.8,41.9,0.0004757,0.0001053,4.757e-06,7.136017e-06
1.0,1.33,1.501,0.2504,0.02252,0.04353496
1.33,1.71,0.9811,0.1491,0.01275,0.02648986
1.71,2.15,1.105,0.1163,0.01216,0.02652385
2.15,2.97,0.4483,0.04228,0.004483,0.008965792
2.97,4.02,0.2186,0.02037,0.002186,0.003278455
4.02,5.9,0.08419,0.007691,0.0008419,0.001262908
5.9,7.09,0.03568,0.005231,0.0003568,0.0005352483
7.09,8.48,0.01994,0.003456,0.0001994,0.0002990493
8.48,11.0,0.01498,0.002109,0.0001498,0.0002246624
11.0,16.6,0.003567,0.0006426,3.567e-05,5.350735e-05
16.6,22.8,0.001822,0.0003618,1.822e-05,2.733496e-05
22.8,41.9,0.0005854,0.0001057,5.854e-06,8.780844e-06
1.0,1.33,1.74,0.2487,0.0261,0.05046353
1.33,1.71,0.855,0.141,0.01112,0.02308505
1.71,2.15,1.025,0.1113,0.01128,0.02460883
2.15,2.97,0.4929,0.04683,0.004929,0.009857372
2.97,4.02,0.2194,0.02167,0.002194,0.003290702
4.02,5.9,0.09006,0.008384,0.0009006,0.001350835
5.9,7.09,0.04149,0.005886,0.0004149,0.0006222982
7.09,8.48,0.02819,0.004258,0.0002819,0.0004227844
8.48,11.0,0.015,0.002253,0.00015,0.0002249599
11.0,16.6,0.005861,0.0008653,5.861e-05,8.791373e-05
16.6,22.8,0.001443,0.0003323,1.443e-05,2.164729e-05
22.8,41.9,0.0004606,9.746e-05,4.606e-06,6.908917e-06
1.0,1.33,1.958,0.2737,0.02938,0.05679457
1.33,1.71,0.8287,0.1326,0.01077,0.02237516
1.71,2.15,0.8231,0.09826,0.009054,0.0197545
2.15,2.97,0.4968,0.04322,0.004968,0.009936032
2.97,4.02,0.2224,0.02071,0.002224,0.003335794
4.02,5.9,0.09031,0.00799,0.0009031,0.001354608
5.9,7.09,0.0424,0.005709,0.000424,0.0006360492
7.09,8.48,0.02549,0.003839,0.0002549,0.0003823792
8.48,11.0,0.01327,0.002002,0.0001327,0.0001990101
11.0,16.6,0.005183,0.0007637,5.183e-05,7.774943e-05
16.6,22.8,0.002214,0.0003915,2.214e-05,3.320708e-05
22.8,41.9,0.0004323,9.148e-05,4.323e-06,6.484342e-06
1.0,1.33,1.818,0.2606,0.02727,0.05271921
1.33,1.71,0.7935,0.1404,0.01032,0.02142433
1.71,2.15,0.7928,0.09925,0.008721,0.0190273
2.15,2.97,0.3636,0.03831,0.003636,0.007271922
2.97,4.02,0.2121,0.02031,0.002121,0.003182135
4.02,5.9,0.1115,0.009296,0.001115,0.001672556
5.9,7.09,0.04151,0.005909,0.0004151,0.0006226942
7.09,8.48,0.02572,0.004082,0.0002572,0.0003858288
8.48,11.0,0.01527,0.002204,0.0001527,0.0002290535
11.0,16.6,0.005265,0.0008139,5.265e-05,7.898119e-05
16.6,22.8,0.001695,0.0003592,1.695e-05,2.542682e-05
22.8,41.9,0.0005082,0.0001034,5.082e-06,7.622305e-06
1.0,1.33,1.317,0.2299,0.01976,0.03819413
1.33,1.71,0.8868,0.1437,0.01153,0.02394334
1.71,2.15,0.8684,0.1003,0.009552,0.0208406
2.15,2.97,0.4228,0.04042,0.004228,0.008455367
2.97,4.02,0.2156,0.02019,0.002156,0.003234318
4.02,5.9,0.1038,0.008736,0.001038,0.001556669
5.9,7.09,0.04177,0.00579,0.0004177,0.0006265668
7.09,8.48,0.02699,0.004069,0.0002699,0.0004049143
8.48,11.0,0.0155,0.002184,0.000155,0.0002325541
11.0,16.6,0.00498,0.0007815,4.98e-05,7.469364e-05
16.6,22.8,0.00106,0.0002725,1.06e-05,1.589577e-05
22.8,41.9,0.000439,9.519e-05,4.39e-06,6.584527e-06
1.0,1.33,1.596,0.2449,0.02394,0.04627562
1.33,1.71,1.103,0.156,0.01434,0.02978455
1.71,2.15,0.7445,0.09591,0.00819,0.01786846
2.15,2.97,0.5485,0.0458,0.005485,0.01096907
2.97,4.02,0.2427,0.0217,0.002427,0.003640133
4.02,5.9,0.09571,0.008312,0.0009571,0.001435691
5.9,7.09,0.03827,0.005473,0.0003827,0.0005740029
7.09,8.48,0.02965,0.004179,0.0002965,0.000444694
8.48,11.0,0.01526,0.00213,0.0001526,0.0002289481
11.0,16.6,0.006999,0.0009127,6.999e-05,0.0001049912
16.6,22.8,0.001571,0.0003299,1.571e-05,2.357107e-05
22.8,41.9,0.000377,8.612e-05,3.77e-06,5.655307e-06
1.0,1.33,1.248,0.2177,0.01872,0.03619818
1.33,1.71,0.8929,0.1464,0.01161,0.02410798
1.71,2.15,0.92,0.1089,0.01012,0.02208092
2.15,2.97,0.4632,0.04551,0.004632,0.009264302
2.97,4.02,0.2338,0.0219,0.002338,0.003507118
4.02,5.9,0.09966,0.008603,0.0009966,0.001494876
5.9,7.09,0.03437,0.005309,0.0003437,0.0005155522
7.09,8.48,0.02184,0.003702,0.0002184,0.0003276136
8.48,11.0,0.007178,0.001538,7.178e-05,0.0001076718
11.0,16.6,0.003271,0.0006318,3.271e-05,4.906633e-05
16.6,22.8,0.0007916,0.0002511,7.916e-06,1.187376e-05
22.8,41.9,0.000399,9.372e-05,3.99e-06,5.98501e-06
1.0,1.33,1.81,0.3319,0.02715,0.05249535
1.33,1.71,1.085,0.1741,0.01411,0.02929762
1.71,2.15,0.8386,0.1115,0.009224,0.02012573
2.15,2.97,0.4877,0.04647,0.004877,0.009753093
2.97,4.02,0.2011,0.02105,0.002011,0.003016048
4.02,5.9,0.09345,0.008604,0.0009345,0.001401799
5.9,7.09,0.03602,0.005476,0.0003602,0.0005402469
7.09,8.48,0.02181,0.003717,0.0002181,0.0003271917
8.48,11.0,0.01269,0.002027,0.0001269,0.0001903121
11.0,16.6,0.005298,0.0008033,5.298e-05,7.946467e-05
16.6,22.8,0.001263,0.0003009,1.263e-05,1.894584e-05
22.8,41.9,0.0004072,8.938e-05,4.072e-06,6.108541e-06
1.0,1.33,1.514,0.2372,0.02271,0.04389841
1.33,1.71,0.9458,0.148,0.0123,0.02553598
1.71,2.15,0.5628,0.08134,0.006191,0.01350686
2.15,2.97,0.4181,0.03961,0.004181,0.008361546
2.97,4.02,0.2323,0.02079,0.002323,0.003484334
4.02,5.9,0.08688,0.007869,0.0008688,0.001303149
5.9,7.09,0.04099,0.005616,0.0004099,0.000614887
7.09,8.48,0.02069,0.003482,0.0002069,0.000310318
8.48,11.0,0.01493,0.002072,0.0001493,0.0002239613
11.0,16.6,0.005281,0.0007793,5.281e-05,7.922113e-05
16.6,22.8,0.001329,0.0003019,1.329e-05,1.99409e-05
22.8,41.9,0.0003635,8.235e-05,3.635e-06,5.452967e-06
1.0,1.33,1.169,0.1885,0.01754,0.03390532
1.33,1.71,1.363,0.1388,0.01772,0.03680772
1.71,2.15,0.6419,0.07481,0.007061,0.01540588
2.15,2.97,0.4368,0.03591,0.004368,0.008736615
2.97,4.02,0.2102,0.01797,0.002102,0.003152512
4.02,5.9,0.07635,0.006914,0.0007635,0.001145245
5.9,7.09,0.03712,0.005075,0.0003712,0.0005568152
7.09,8.48,0.02542,0.003657,0.0002542,0.0003813038
8.48,11.0,0.01588,0.002079,0.0001588,0.000238208
11.0,16.6,0.004707,0.0007044,4.707e-05,7.060384e-05
16.6,22.8,0.002208,0.0003872,2.208e-05,3.311733e-05
22.8,41.9,0.0004205,8.63e-05,4.205e-06,6.307089e-06
1.0,1.33,1.105,0.176,0.01657,0.03203721
1.33,1.71,0.9264,0.1172,0.01204,0.02501374
1.71,2.15,0.781,0.08058,0.008591,0.01874472
2.15,2.97,0.3559,0.03362,0.003559,0.007117471
2.97,4.02,0.1918,0.01789,0.001918,0.002876252
4.02,5.9,0.09432,0.007644,0.0009432,0.001414823
5.9,7.09,0.04231,0.005394,0.0004231,0.0006346776
7.09,8.48,0.02946,0.004025,0.0002946,0.0004418395
8.48,11.0,0.01318,0.001888,0.0001318,0.0001977191
11.0,16.6,0.005086,0.0007425,5.086e-05,7.629743e-05
16.6,22.8,0.001403,0.0003123,1.403e-05,2.104597e-05
22.8,41.9,0.0004946,9.375e-05,4.946e-06,7.418366e-06
1.0,1.33,1.377,0.1874,0.02066,0.03993697
1.33,1.71,1.153,0.1266,0.01499,0.03112423
1.71,2.15,0.6835,0.07665,0.007519,0.01640416
2.15,2.97,0.3821,0.03501,0.003821,0.007641517
2.97,4.02,0.1913,0.01802,0.001913,0.002869954
4.02,5.9,0.09119,0.007927,0.0009119,0.001367923
5.9,7.09,0.03992,0.005647,0.0003992,0.0005988377
7.09,8.48,0.02695,0.004081,0.0002695,0.0004042963
8.48,11.0,0.01665,0.002265,0.0001665,0.0002497835
11.0,16.6,0.006227,0.000873,6.227e-05,9.340905e-05
16.6,22.8,0.001979,0.0003837,1.979e-05,2.969003e-05
22.8,41.9,0.0004168,9.345e-05,4.168e-06,6.251529e-06
1.0,1.33,1.786,0.2196,0.02679,0.05179259
1.33,1.71,0.9686,0.1185,0.01259,0.02615155
1.71,2.15,0.6265,0.07418,0.006891,0.01503548
2.15,2.97,0.5167,0.04041,0.005167,0.0103333
2.97,4.02,0.2193,0.01909,0.002193,0.003289741
4.02,5.9,0.09002,0.007558,0.0009002,0.001350248
5.9,7.09,0.04325,0.005609,0.0004325,0.0006487604
7.09,8.48,0.02826,0.003998,0.0002826,0.0004239526
8.48,11.0,0.011,0.001786,0.00011,0.0001649281
11.0,16.6,0.004917,0.0007333,4.917e-05,7.375181e-05
16.6,22.8,0.001787,0.0003541,1.787e-05,2.680566e-05
22.8,41.9,0.0004861,9.652e-05,4.861e-06,7.291136e-06
1.0,1.33,1.274,0.1825,0.01911,0.03695392
1.33,1.71,1.04,0.1176,0.01352,0.02807617
1.71,2.15,0.8812,0.08262,0.009693,0.02114762
2.15,2.97,0.4412,0.0353,0.004412,0.008824104
2.97,4.02,0.1867,0.01715,0.001867,0.002800265
4.02,5.9,0.09231,0.007534,0.0009231,0.001384672
5.9,7.09,0.03968,0.005204,0.0003968,0.0005951776
7.09,8.48,0.01691,0.003046,0.0001691,0.000253628
8.48,11.0,0.009886,0.001678,9.886e-05,0.0001482832
11.0,16.6,0.004556,0.0006911,4.556e-05,6.834455e-05
16.6,22.8,0.001175,0.0002819,1.175e-05,1.763143e-05
22.8,41.9,0.0004702,9.571e-05,4.702e-06,7.053038e-06
1.0,1.33,1.202,0.1857,0.01803,0.03484937
1.33,1.71,0.8927,0.1133,0.0116,0.02410242
1.71,2.15,0.729,0.07884,0.008019,0.01749588
2.15,2.97,0.4109,0.03561,0.004109,0.008218948
2.97,4.02,0.1856,0.01735,0.001856,0.002784334
4.02,5.9,0.1105,0.008344,0.001105,0.00165718
5.9,7.09,0.03987,0.00537,0.0003987,0.0005979825
7.09,8.48,0.0273,0.003912,0.000273,0.0004095131
8.48,11.0,0.01577,0.002118,0.0001577,0.0002365213
11.0,16.6,0.005028,0.0007493,5.028e-05,7.541359e-05
16.6,22.8,0.001392,0.0003171,1.392e-05,2.088515e-05
22.8,41.9,0.0004631,9.544e-05,4.631e-06,6.94706e-06
1.0,1.33,1.28,0.1756,0.0192,0.03712257
1.33,1.71,0.8496,0.1059,0.01104,0.02293825
1.71,2.15,0.7187,0.07448,0.007905,0.01724823
2.15,2.97,0.4206,0.03459,0.004206,0.008411973
2.97,4.02,0.2063,0.01762,0.002063,0.00309525
4.02,5.9,0.1094,0.008194,0.001094,0.001640761
5.9,7.09,0.04279,0.005502,0.0004279,0.0006418708
7.09,8.48,0.02414,0.003608,0.0002414,0.0003620493
8.48,11.0,0.0124,0.001842,0.000124,0.0001860711
11.0,16.6,0.005118,0.0007406,5.118e-05,7.677236e-05
16.6,22.8,0.001174,0.0002848,1.174e-05,1.761728e-05
22.8,41.9,0.0004806,9.56e-05,4.806e-06,7.208884e-06
1.0,1.33,1.284,0.1859,0.01926,0.03724015
1.33,1.71,0.9739,0.1181,0.01266,0.02629587
1.71,2.15,0.6566,0.07338,0.007223,0.0157582
2.15,2.97,0.4161,0.03529,0.004161,0.00832186
2.97,4.02,0.2084,0.01801,0.002084,0.003126728
4.02,5.9,0.08718,0.007377,0.0008718,0.001307666
5.9,7.09,0.04327,0.005522,0.0004327,0.0006489831
7.09,8.48,0.02388,0.003607,0.0002388,0.0003582441
8.48,11.0,0.01189,0.001827,0.0001189,0.0001782762
11.0,16.6,0.005114,0.0007376,5.114e-05,7.670361e-05
16.6,22.8,0.001811,0.0003517,1.811e-05,2.716931e-05
22.8,41.9,0.0004704,9.507e-05,4.704e-06,7.055639e-06
1.0,1.33,1.41,0.1855,0.02115,0.04088939
1.33,1.71,0.8981,0.1101,0.01168,0.02424974
1.71,2.15,0.6605,0.07097,0.007265,0.01585092
2.15,2.97,0.4963,0.03766,0.004963,0.009925922
2.97,4.02,0.1745,0.01641,0.001745,0.002617499
4.02,5.9,0.08729,0.007281,0.0008729,0.001309294
5.9,7.09,0.03563,0.004971,0.0003563,0.0005344177
7.09,8.48,0.02493,0.003665,0.0002493,0.000373909
8.48,11.0,0.01292,0.001888,0.0001292,0.0001938501
11.0,16.6,0.005063,0.000726,5.063e-05,7.593806e-05
16.6,22.8,0.001364,0.0003006,1.364e-05,2.046356e-05
22.8,41.9,0.0005091,9.645e-05,5.091e-06,7.636263e-06
1.0,1.33,1.455,0.1877,0.02182,0.04218397
1.33,1.71,1.144,0.12,0.01487,0.03088705
1.71,2.15,0.6282,0.07094,0.00691,0.01507716
2.15,2.97,0.4392,0.03601,0.004392,0.008784192
2.97,4.02,0.2042,0.01762,0.002042,0.003062724
4.02,5.9,0.08623,0.007218,0.0008623,0.001293398
5.9,7.09,0.04399,0.005528,0.0004399,0.0006597865
7.09,8.48,0.03344,0.004192,0.0003344,0.0005015252
8.48,11.0,0.01129,0.001773,0.0001129,0.0001693065
11.0,16.6,0.004303,0.0006908,4.303e-05,6.45481e-05
16.6,22.8,0.001721,0.0003432,1.721e-05,2.581021e-05
22.8,41.9,0.0005362,9.925e-05,5.362e-06,8.042643e-06
1.0,1.33,1.094,0.1864,0.01641,0.03171866
